Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
priors_count,['age'],0.5745740180804592,0.5769345438199484,-0.3368,-0.0594,0.2721,0.0426,0.7239,0.9426000000000001,-0.06264999999999998,-0.0232,0.6628999999999999,0.5592,0.7221000000000001,0.6305,0.5869,0.6004,0.7709999999999999,0.6896,0.6640999999999999,0.6413
priors_count,['c_charge_degree'],0.6078459434226855,0.5785996672826675,-0.183,-0.013900000000000001,0.21,0.0262,0.7127,0.9756999999999999,0.015000000000000012,-0.005750000000000001,0.4916,0.465,0.601,0.5477000000000001,0.6313,0.617,0.6905,0.6151,0.6589,0.6154
priors_count,['race'],0.6004988838985558,0.5835833195661612,-0.16920000000000002,0.002099999999999999,0.1852,0.0365,0.7434000000000001,1.0024,0.006700000000000019,-0.0036000000000000094,0.5034000000000001,0.485,0.6043,0.5706,0.6246,0.6165999999999999,0.6867,0.6405,0.6534,0.6275
priors_count,['sex'],0.5953688513568028,0.5799849009339906,-0.17629999999999998,-0.007700000000000001,0.19640000000000002,0.016700000000000003,0.7326,0.9914000000000001,0.01039999999999998,-0.0072,0.5199,0.5531,0.6142,0.6281,0.6185,0.603,0.6908,0.6895,0.6521000000000001,0.643
race,None,0.6035465516115275,0.5835833195661612,-0.2824,-0.1322,0.2584,0.1259,0.6706,0.8106,-0.03389999999999998,-0.0169,0.5082,0.485,0.6115999999999999,0.5706,0.6255,0.6165999999999999,0.6962999999999999,0.6405,0.6581,0.6275
race,['age'],0.5745740180804592,0.5752634652548592,-0.48310000000000003,-0.1027,0.42129999999999995,0.0868,0.5787,0.8817,-0.05889999999999995,-0.021399999999999978,0.6628999999999999,0.6078,0.7221000000000001,0.6731,0.5869,0.593,0.7709999999999999,0.7256999999999999,0.6640999999999999,0.6524000000000001
race,['c_charge_degree'],0.6078459434226855,0.5747136748360425,-0.3514,-0.1167,0.3075,0.10969999999999999,0.6182,0.8406999999999999,-0.05119999999999998,-0.01405,0.4916,0.542,0.601,0.6128,0.6313,0.6015,0.6905,0.6707000000000001,0.6589,0.6338
race,['priors_count'],0.6025739489244316,0.5835833195661612,-0.3118,-0.1322,0.27449999999999997,0.1259,0.6574,0.8106,-0.04489999999999996,-0.0169,0.5162,0.485,0.6183,0.5706,0.6236,0.6165999999999999,0.7012999999999999,0.6405,0.6594,0.6275
race,['sex'],0.5953688513568028,0.5803950345972237,-0.3443,-0.09129999999999999,0.3134,0.0953,0.6182,0.8733,-0.03804999999999998,-0.00505000000000001,0.5199,0.6164999999999999,0.6142,0.6856,0.6185,0.5947,0.6908,0.7417,0.6521000000000001,0.6598
sex,None,0.6035465516115275,0.5729117761188869,-0.4854,-0.0509,0.40509999999999996,0.0768,0.5685,0.9070999999999999,-0.07924999999999996,0.0022499999999999903,0.5082,0.5895,0.6115999999999999,0.654,0.6255,0.5937,0.6962999999999999,0.7062999999999999,0.6581,0.6437
sex,['age'],0.5745740180804592,0.5744351297251816,-0.3978,-0.09709999999999999,0.3442,0.0803,0.6557999999999999,0.9067000000000001,-0.050799999999999956,-0.026750000000000003,0.6628999999999999,0.6648000000000001,0.7221000000000001,0.7234999999999999,0.5869,0.5857,0.7709999999999999,0.7712,0.6640999999999999,0.6655
sex,['c_charge_degree'],0.6078459434226855,0.5691679377288392,-0.5418999999999999,-0.0673,0.4507,0.062400000000000004,0.5329999999999999,0.9436,-0.08884999999999994,-0.029149999999999978,0.4916,0.6019,0.601,0.6612,0.6313,0.5897,0.6905,0.71,0.6589,0.644
