Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
race,['sex'],fairSMOTE,-0.3443,0.0386,0.3829,0.3134,0.1119,-0.2015,0.6182,1.03,0.4118,-0.038,0.0149,0.0529,0.5199,0.4824,-0.0375,0.6142,0.5532,-0.061,59.54,56.88,-0.0266,61.85,60.83,-0.0102,69.08,61.07,-0.0801,65.21,60.62,-0.0459,0.1280702860742466,0.003090778489719419,41.44,237.64,252.89,0.7527138062630524,0.09
sex,None,fairSMOTE,-0.4854,0.0439,0.5293,0.4051,0.06,-0.3451,0.5685,1.0247,0.4562,-0.0792,0.0165,0.0958,0.5082,0.4405,-0.0677,0.6116,0.5244,-0.0872,60.35,57.78,-0.0258,62.55,62.1,-0.0045,69.63,59.28,-0.1035,65.81,60.61,-0.052,0.1289224579799575,0.002393948821416579,53.85,238.1,255.0,1.0,0.0
sex,['age'],fairSMOTE,-0.3978,0.1182,0.516,0.3442,0.129,-0.2152,0.6558,1.2247,0.5689,-0.0508,0.0073,0.0581,0.6629,0.5153,-0.1476,0.7221,0.5689,-0.1532,57.46,55.42,-0.0204,58.69,59.27,0.0058,77.1,61.24,-0.1586,66.41,59.98,-0.0643,0.12064297891671161,0.0050567367230154635,23.86,233.87,256.45,1.0,0.0
sex,['c_charge_degree'],fairSMOTE,-0.5419,0.276,0.8179,0.4507,0.2925,-0.1582,0.533,1.911,1.378,-0.0888,-0.0185,0.0703,0.4916,0.5264,0.0348,0.601,0.573,-0.028,60.78,54.92,-0.0587,63.13,58.62,-0.0451,69.05,61.14,-0.0791,65.89,59.77,-0.0612,0.11765009324936573,0.021218403249379694,5.54,231.37,255.3,0.9163591402734885,0.03
sex,['priors_count'],fairSMOTE,-0.5,-0.0111,0.4889,0.4176,0.0787,-0.3389,0.5629,0.9136,0.3507,-0.0805,0.0188,0.0993,0.5162,0.3936,-0.1226,0.6183,0.4782,-0.1401,60.26,57.37,-0.0288,62.36,62.85,0.0049,70.13,54.71,-0.1542,65.94,58.44,-0.075,0.11529234463305006,0.0012755648198465904,90.39,231.93,255.27,0.9163591402734885,0.03
sex,['race'],fairSMOTE,-0.5038,-0.0024,0.5014,0.4147,0.0842,-0.3305,0.5586,0.9303,0.3717,-0.0855,0.0196,0.1051,0.5034,0.4011,-0.1023,0.6043,0.4847,-0.1196,60.05,57.34,-0.0271,62.46,62.7,0.0023,68.67,55.27,-0.134,65.34,58.64,-0.067,0.11652025277155467,0.0011831167953924655,98.49,232.5,253.11,0.9163591402734885,0.03
age,None,Reweighing,-0.0126,-0.8855,-0.8729,0.4332,0.8455,0.4123,0.489,0.1545,-0.3345,0.0332,-0.0389,-0.0721,0.5082,0.245,-0.2632,0.6116,0.3334,-0.2782,60.35,56.31,-0.0405,62.55,66.83,0.0428,69.63,40.57,-0.2906,65.81,50.42,-0.1539,0.07697422698100737,0.24311870485485004,0.32,209.38,256.83,0.5995101785600032,0.16
age,['c_charge_degree'],Reweighing,-0.0472,-0.9063,-0.8591,0.4565,0.8802,0.4237,0.4695,0.1198,-0.3497,0.0156,-0.0255,-0.0411,0.4916,0.2272,-0.2644,0.601,0.306,-0.295,60.78,55.18,-0.056,63.13,66.53,0.034,69.05,37.07,-0.3198,65.89,47.56,-0.1833,0.06472899445579693,0.25701198686825216,0.25,201.52,257.23,0.6744240722352938,0.12
age,['priors_count'],Reweighing,-0.0314,-0.9129,-0.8815,0.4642,0.8823,0.4181,0.4679,0.1177,-0.3502,0.0268,-0.0296,-0.0564,0.5162,0.2217,-0.2945,0.6183,0.3043,-0.314,60.26,55.5,-0.0475,62.36,67.06,0.047,70.13,37.17,-0.3296,65.94,47.79,-0.1815,0.06611684378470088,0.26012155445322027,0.25,202.68,257.09,0.6744240722352938,0.12
age,['race'],Reweighing,-0.021,-0.8617,-0.8407,0.4403,0.8202,0.3799,0.4819,0.1798,-0.3021,0.0321,-0.0405,-0.0726,0.5034,0.2655,-0.2379,0.6043,0.3533,-0.251,60.05,56.36,-0.0369,62.46,66.16,0.037,68.67,42.51,-0.2616,65.34,51.47,-0.1387,0.08158937338117596,0.22993492769306284,0.35,211.83,254.98,0.5995101785600032,0.16
age,['sex'],Reweighing,-0.0096,-0.9019,-0.8923,0.4439,0.8846,0.4407,0.4975,0.1154,-0.3821,0.0095,-0.0169,-0.0264,0.5199,0.2312,-0.2887,0.6142,0.3026,-0.3116,59.54,54.45,-0.0509,61.85,65.47,0.0362,69.08,36.09,-0.3299,65.21,46.35,-0.1886,0.05963177696733894,0.2559994843849,0.23,197.54,254.17,0.5286121252556877,0.19
c_charge_degree,None,Reweighing,-0.4457,-0.2048,0.2409,0.4074,0.2427,-0.1647,0.5345,0.5094,-0.0251,-0.0475,0.0202,0.0677,0.5082,0.245,-0.2632,0.6116,0.3334,-0.2782,60.35,56.31,-0.0405,62.55,66.83,0.0428,69.63,40.57,-0.2906,65.81,50.42,-0.1539,0.07697422698100737,0.007966547087350498,9.66,212.29,255.16,0.40081416938293446,0.25
c_charge_degree,['age'],Reweighing,-0.4787,-0.4787,0.0,0.4283,0.4283,0.0,0.5717,0.5717,0.0,-0.0495,-0.0495,0.0,0.6629,0.6629,0.0,0.7221,0.7221,0.0,57.46,57.46,0.0,58.69,58.69,0.0,77.1,77.1,0.0,66.41,66.41,0.0,0.1726624707893123,0.0761094963387392,2.27,256.13,256.13,1.0,0.0
c_charge_degree,['priors_count'],Reweighing,-0.4578,-0.1247,0.3331,0.4261,0.1741,-0.252,0.5235,0.5885,0.065,-0.042,0.0301,0.0721,0.5162,0.2217,-0.2945,0.6183,0.3043,-0.314,60.26,55.5,-0.0475,62.36,67.06,0.047,70.13,37.17,-0.3296,65.94,47.79,-0.1815,0.06611684378470088,0.0036894475734566413,17.92,206.01,255.43,0.4622499461255427,0.22
c_charge_degree,['race'],Reweighing,-0.4545,-0.2434,0.2111,0.4103,0.2735,-0.1368,0.5287,0.5083,-0.0204,-0.0524,0.0126,0.065,0.5034,0.2655,-0.2379,0.6043,0.3533,-0.251,60.05,56.36,-0.0369,62.46,66.16,0.037,68.67,42.51,-0.2616,65.34,51.47,-0.1387,0.08158937338117596,0.011387709736912215,7.16,214.47,253.31,0.4622499461255427,0.22
c_charge_degree,['sex'],Reweighing,-0.5198,-0.3155,0.2043,0.4533,0.3086,-0.1447,0.5001,0.3913,-0.1088,-0.0699,-0.015,0.0549,0.5199,0.2312,-0.2887,0.6142,0.3026,-0.3116,59.54,54.45,-0.0509,61.85,65.47,0.0362,69.08,36.09,-0.3299,65.21,46.35,-0.1886,0.05963177696733894,0.015131076200299798,3.94,200.18,252.19,0.34456236532569795,0.28
priors_count,None,Reweighing,-0.1722,-0.1232,0.049,0.1848,0.1348,-0.05,0.7461,0.6879,-0.0582,0.0031,0.0037,0.0005,0.5082,0.245,-0.2632,0.6116,0.3334,-0.2782,60.35,56.31,-0.0405,62.55,66.83,0.0428,69.63,40.57,-0.2906,65.81,50.42,-0.1539,0.07697422698100737,0.0034643300921346,22.22,212.56,256.21,0.5286121252556877,0.19
priors_count,['age'],Reweighing,-0.3368,-0.3368,0.0,0.2721,0.2721,0.0,0.7239,0.7239,0.0,-0.0626,-0.0626,0.0,0.6629,0.6629,0.0,0.7221,0.7221,0.0,57.46,57.46,0.0,58.69,58.69,0.0,77.1,77.1,0.0,66.41,66.41,0.0,0.1726624707893123,0.03385516505032337,5.1,256.71,256.71,1.0,0.0
priors_count,['c_charge_degree'],Reweighing,-0.183,-0.0657,0.1173,0.21,0.0923,-0.1177,0.7127,0.7515,0.0388,0.015,0.0179,0.0029,0.4916,0.2272,-0.2644,0.601,0.306,-0.295,60.78,55.18,-0.056,63.13,66.53,0.034,69.05,37.07,-0.3198,65.89,47.56,-0.1833,0.06472899445579693,0.0017070194034144001,37.92,204.99,256.69,0.6744240722352938,0.12
priors_count,['race'],Reweighing,-0.1692,-0.1779,-0.0087,0.1852,0.1847,-0.0005,0.7434,0.6461,-0.0973,0.0067,-0.0002,-0.0069,0.5034,0.2655,-0.2379,0.6043,0.3533,-0.251,60.05,56.36,-0.0369,62.46,66.16,0.037,68.67,42.51,-0.2616,65.34,51.47,-0.1387,0.08158937338117596,0.0064501989984432,12.65,214.7,254.4,0.34456236532569795,0.28
