Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
default,['duration'],0.40689560383729667,0.38505464051280897,0.0,0.10133333333333333,0.36866666666666664,0.12666666666666668,1.1516666666666666,1.2443333333333333,-0.18433333333333332,0.050666666666666665,0.0,0.6150000000000001,0.40700000000000003,0.6150000000000001,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
default,['education'],0.5664560490689667,0.4035324473837051,0.0,0.0015000000000000048,0.21425,0.2255,1.45125,1.3760000000000001,-0.082625,0.0007500000000000024,0.0,0.5965,0.5665,0.5965,1.0,0.0,0.5665,0.0,0.71225,0.0
default,['housing'],0.5120181585981395,0.4698146196128262,0.0,-0.1265,0.32875,0.3365,1.0305,1.1435,-0.043375,-0.06325,0.0,0.53025,0.512,0.53025,1.0,0.0,0.512,0.0,0.65575,0.0
default,['loan'],0.5548099106991011,0.4588411259036782,0.0,-0.0225,0.301,0.249,1.37125,1.31925,-0.1505,-0.01125,0.0,0.54125,0.555,0.54125,1.0,0.0,0.555,0.0,0.70225,0.0
duration,None,0.5729522642895878,0.3732114952044487,0.0,0.11125,0.3125,0.12525000000000003,0.4375,1.40625,0.15625,0.055625,0.0,0.62675,0.573,0.62675,1.0,0.0,0.573,0.0,0.71875,0.0
duration,['age'],0.5835314767217618,0.39188243171406595,0.0,0.118,0.08333333333333333,0.13,0.5833333333333334,1.3573333333333333,0.041666666666666664,0.059,0.0,0.6083333333333334,0.5833333333333334,0.6083333333333334,1.0,0.0,0.5833333333333334,0.0,0.7243333333333334,0.0
duration,['balance'],0.5850222316347017,0.422026164553672,0.0,0.12066666666666666,0.08333333333333333,0.1486666666666667,0.5833333333333334,1.5043333333333333,0.041666666666666664,0.06033333333333333,0.0,0.5776666666666667,0.5850000000000001,0.5776666666666667,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
duration,['default'],0.5862167073649442,0.4268230528735337,0.0,0.123,0.08333333333333333,0.13833333333333334,0.5833333333333334,1.4346666666666665,0.041666666666666664,0.0615,0.0,0.573,0.5863333333333334,0.573,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
duration,['education'],0.5664560490689667,0.3646953405017921,0.0,0.0745,0.5625,0.15,0.1875,1.3619999999999999,0.28125,0.03725,0.0,0.63525,0.5665,0.63525,1.0,0.0,0.5665,0.0,0.71225,0.0
duration,['housing'],0.5120181585981395,0.39455121725820885,0.0,0.056499999999999995,0.25,0.063,0.5,1.1125,0.125,0.028249999999999997,0.0,0.6055,0.512,0.6055,1.0,0.0,0.512,0.0,0.65575,0.0
duration,['loan'],0.5548099106991011,0.35820975443055036,0.0,0.0895,0.3125,0.135,0.4375,1.3205,0.15625,0.04475,0.0,0.642,0.555,0.642,1.0,0.0,0.555,0.0,0.70225,0.0
education,None,0.5729522642895878,0.27294953680974704,0.0,0.05875,0.1145,0.10725,0.817,1.0935,0.05725,0.029375,0.0,0.727,0.573,0.727,1.0,0.0,0.573,0.0,0.71875,0.0
education,['age'],0.5722812240287765,0.28235854006026123,0.0,0.03475,0.11375,0.09225,0.819,1.06,0.056875,0.017375,0.0,0.71775,0.57225,0.71775,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
education,['balance'],0.5850222316347017,0.2994189933139308,0.0,0.028666666666666663,0.10766666666666667,0.10533333333333333,0.8313333333333333,1.0726666666666667,0.05383333333333334,0.014333333333333332,0.0,0.7006666666666668,0.5850000000000001,0.7006666666666668,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
education,['default'],0.5862167073649442,0.27969610526574745,0.0,0.028999999999999998,0.107,0.09433333333333334,0.8303333333333334,1.0506666666666666,0.0535,0.014499999999999999,0.0,0.7200000000000001,0.5863333333333334,0.7200000000000001,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
education,['duration'],0.40689560383729667,0.3969509984180617,0.0,-0.07833333333333332,0.2866666666666667,0.10099999999999999,0.5173333333333333,0.8606666666666666,0.14333333333333334,-0.03916666666666666,0.0,0.603,0.40700000000000003,0.603,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
education,['housing'],0.5120181585981395,0.3540345042243849,0.0,0.0059999999999999975,0.0895,0.0325,0.8225,1.0175,0.04475,0.0029999999999999988,0.0,0.646,0.512,0.646,1.0,0.0,0.512,0.0,0.65575,0.0
