Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
campaign,['loan'],0.5548099106991011,0.42165695202523396,0.0,-0.19825,0.55225,0.21725,0.0,0.76525,-0.276125,-0.099125,0.0,0.57825,0.555,0.57825,1.0,0.0,0.555,0.0,0.70225,0.0
default,None,0.5729522642895878,0.27093481162740696,0.0,-0.06650000000000002,0.216,0.2115,1.46875,0.99275,-0.08600000000000001,-0.03325000000000001,0.0,0.729,0.573,0.729,1.0,0.0,0.573,0.0,0.71875,0.0
default,['age'],0.5722812240287765,0.31684772319609295,0.0,0.02174999999999999,0.2145,0.16375,1.46675,1.11825,-0.08575,0.010874999999999996,0.0,0.683,0.57225,0.683,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
default,['balance'],0.5850222316347017,0.33015234311910313,0.0,-0.169,0.22166666666666668,0.28833333333333333,1.4213333333333333,0.8863333333333333,-0.0805,-0.0845,0.0,0.6696666666666666,0.5850000000000001,0.6696666666666666,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
default,['duration'],0.40689560383729667,0.3605626737431398,0.0,0.10566666666666667,0.36866666666666664,0.26966666666666667,1.1516666666666666,2.1990000000000003,-0.18433333333333332,0.052833333333333336,0.0,0.6393333333333333,0.40700000000000003,0.6393333333333333,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
default,['education'],0.5664560490689667,0.29984950728878873,0.0,0.030000000000000006,0.21425,0.146,1.45125,1.11075,-0.082625,0.015000000000000003,0.0,0.70025,0.5665,0.70025,1.0,0.0,0.5665,0.0,0.71225,0.0
default,['housing'],0.5120181585981395,0.37687213414066734,0.0,-0.20575000000000002,0.32875,0.34725,1.0305,0.874,-0.043375,-0.10287500000000001,0.0,0.62325,0.512,0.62325,1.0,0.0,0.512,0.0,0.65575,0.0
default,['loan'],0.5548099106991011,0.31864665659103525,0.0,-0.11425,0.301,0.21525,1.37125,0.93075,-0.1505,-0.057125,0.0,0.68125,0.555,0.68125,1.0,0.0,0.555,0.0,0.70225,0.0
duration,None,0.5729522642895878,0.4110562807443132,0.0,0.11025,0.3125,0.13175,0.4375,1.40975,0.15625,0.055125,0.0,0.589,0.573,0.589,1.0,0.0,0.573,0.0,0.71875,0.0
duration,['age'],0.5835314767217618,0.5020514926801928,0.0,0.144,0.08333333333333333,0.14933333333333335,0.5833333333333334,1.5683333333333334,0.041666666666666664,0.072,0.0,0.498,0.5833333333333334,0.498,1.0,0.0,0.5833333333333334,0.0,0.7243333333333334,0.0
duration,['balance'],0.5850222316347017,0.4802546503531284,0.0,0.122,0.08333333333333333,0.164,0.5833333333333334,1.5206666666666664,0.041666666666666664,0.061,0.0,0.5196666666666666,0.5850000000000001,0.5196666666666666,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
duration,['default'],0.5862167073649442,0.4975821693412013,0.0,0.11399999999999999,0.08333333333333333,0.15866666666666665,0.5833333333333334,1.5283333333333333,0.041666666666666664,0.056999999999999995,0.0,0.5023333333333334,0.5863333333333334,0.5023333333333334,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
duration,['education'],0.5664560490689667,0.38641229708352187,0.0,0.11375,0.5625,0.12625,0.1875,1.4105,0.28125,0.056875,0.0,0.61375,0.5665,0.61375,1.0,0.0,0.5665,0.0,0.71225,0.0
duration,['housing'],0.5120181585981395,0.4850070834255863,0.0,0.014500000000000002,0.25,0.0685,0.5,1.0454999999999999,0.125,0.007250000000000001,0.0,0.51525,0.512,0.51525,1.0,0.0,0.512,0.0,0.65575,0.0
duration,['loan'],0.5548099106991011,0.49749111964651865,0.0,0.07950000000000002,0.3125,0.11050000000000001,0.4375,1.4555,0.15625,0.03975000000000001,0.0,0.5025,0.555,0.5025,1.0,0.0,0.555,0.0,0.70225,0.0
education,None,0.5729522642895878,0.39814086149857364,0.0,0.07500000000000001,0.1145,0.0975,0.817,1.1575,0.05725,0.037500000000000006,0.0,0.602,0.573,0.602,1.0,0.0,0.573,0.0,0.71875,0.0
education,['age'],0.5722812240287765,0.42723705489935593,0.0,-0.003999999999999999,0.11375,0.0235,0.819,0.995,0.056875,-0.0019999999999999996,0.0,0.57275,0.57225,0.57275,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
education,['balance'],0.5850222316347017,0.47045898672519515,0.0,0.083,0.10766666666666667,0.10166666666666667,0.8313333333333333,1.2033333333333334,0.05383333333333334,0.0415,0.0,0.5293333333333333,0.5850000000000001,0.5293333333333333,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
education,['default'],0.5862167073649442,0.3904673509967067,0.0,0.04933333333333334,0.107,0.084,0.8303333333333334,1.1050000000000002,0.0535,0.02466666666666667,0.0,0.6096666666666667,0.5863333333333334,0.6096666666666667,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
education,['duration'],0.40689560383729667,0.5561042603235112,0.0,-0.026999999999999996,0.2866666666666667,0.04699999999999999,0.5173333333333333,0.9413333333333332,0.14333333333333334,-0.013499999999999998,0.0,0.444,0.40700000000000003,0.444,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
education,['housing'],0.5120181585981395,0.49331386394047033,0.0,0.08725,0.0895,0.08725,0.8225,1.209,0.04475,0.043625,0.0,0.50675,0.512,0.50675,1.0,0.0,0.512,0.0,0.65575,0.0
