Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
balance,"['loan', 'duration']",LRTD,0.2,-0.0937,-0.2937,0.5,0.0893,-0.4107,0.0,0.8543,0.8543,0.15,-0.0415,-0.1915,0.2502,0.5587,0.3085,0.4277,0.5696,0.1419,50.34,44.94,-0.0541,48.13,7.86,-0.4027,21.61,6.28,-0.1533,29.46,6.98,-0.2248,0.00015482306894145802,0.0033974557293600005,0.05,64.22,148.44,0.11518373151505122,0.47
balance,['loan'],LRTD,0.0484,-0.0518,-0.1002,0.2419,0.0505,-0.1914,0.129,0.9324,0.8033,0.121,-0.0271,-0.148,0.1282,0.6206,0.4924,0.4043,0.6472,0.2429,67.74,38.63,-0.2911,50.9,8.24,-0.4266,30.25,7.11,-0.2314,37.37,7.64,-0.2974,0.00017277028634163125,0.002113756610450021,0.08,59.83,185.35,0.14148212148279338,0.44
campaign,None,LRTD,0.1486,-0.0575,-0.2061,0.4303,0.1771,-0.2532,0.0,1.0685,1.0685,-0.0801,-0.0183,0.0618,0.1292,0.6158,0.4866,0.4128,0.6445,0.2316,68.52,39.66,-0.2886,50.89,8.25,-0.4264,31.1,7.62,-0.2349,38.12,7.92,-0.302,0.00019714980710759303,0.004415342449896076,0.04,61.36,187.6,0.40081416938293446,0.25
campaign,['age'],LRTD,0.1477,-0.0567,-0.2044,0.4288,0.1789,-0.2499,0.0,1.0712,1.0712,-0.0803,-0.0186,0.0617,0.1287,0.592,0.4633,0.4122,0.6225,0.2104,68.5,42.02,-0.2648,50.9,8.3,-0.4259,31.05,7.75,-0.2329,38.08,8.02,-0.3005,0.000216993696079877,0.004262105884837796,0.05,64.05,187.5,0.40081416938293446,0.25
campaign,['balance'],LRTD,0.1523,-0.0774,-0.2297,0.4183,0.1646,-0.2537,0.0,1.0365,1.0365,-0.0708,-0.0282,0.0426,0.134,0.5891,0.4551,0.3996,0.6197,0.2201,68.05,42.36,-0.2569,49.22,8.55,-0.4067,29.39,7.93,-0.2146,36.34,8.23,-0.2811,0.00023636714606326705,0.004747773584483999,0.05,65.0,182.01,0.40081416938293446,0.25
campaign,['default'],LRTD,0.1533,-0.0753,-0.2286,0.419,0.181,-0.238,0.0,1.0419,1.0419,-0.0702,-0.0269,0.0433,0.1333,0.6055,0.4722,0.3999,0.6352,0.2353,68.15,40.73,-0.2742,49.24,8.52,-0.4072,29.47,7.89,-0.2158,36.42,8.19,-0.2823,0.00022423534410173274,0.00502517825288192,0.04,63.23,182.29,0.34456236532569795,0.28
campaign,['duration'],LRTD,0.2766,-0.009,-0.2856,0.5025,0.1586,-0.3439,0.0,1.0791,1.0791,0.0056,0.0063,0.0008,0.2454,0.5858,0.3404,0.4373,0.5987,0.1614,51.87,41.89,-0.0998,48.29,7.97,-0.4032,22.89,6.2,-0.1669,30.61,6.97,-0.2364,0.00014427739647707153,0.002548100268460081,0.06,61.16,152.63,0.34456236532569795,0.28
campaign,['education'],LRTD,0.1496,-0.0646,-0.2142,0.4335,0.1878,-0.2457,0.0,1.0738,1.0738,-0.0791,-0.0249,0.0543,0.1254,0.5919,0.4665,0.4068,0.6223,0.2155,68.38,42.75,-0.2563,50.95,8.22,-0.4274,30.67,8.21,-0.2246,37.76,8.21,-0.2955,0.00023655786803330865,0.004614131879265779,0.05,65.29,186.75,0.40081416938293446,0.25
campaign,['housing'],LRTD,0.1499,0.0031,-0.1468,0.4051,0.0868,-0.3183,0.0,1.0317,1.0317,-0.0643,0.0123,0.0766,0.1211,0.6313,0.5103,0.3803,0.6565,0.2762,66.35,37.16,-0.2919,51.0,8.23,-0.4278,28.24,6.75,-0.215,35.35,7.41,-0.2793,0.00015283683376960585,0.0019371523477725258,0.08,57.76,180.01,0.4622499461255427,0.22
campaign,"['loan', 'duration']",LRTD,0.2731,-0.1317,-0.4048,0.4905,0.1547,-0.3358,0.0,0.8507,0.8507,0.0059,-0.0529,-0.0588,0.2502,0.485,0.2348,0.4277,0.4941,0.0664,50.34,50.53,0.0018,48.13,7.89,-0.4024,21.61,4.96,-0.1665,29.46,6.09,-0.2337,0.0001204204237765443,0.005358069668952001,0.02,67.5,148.52,0.40081416938293446,0.25
campaign,['loan'],LRTD,0.1499,-0.1345,-0.2844,0.4224,0.1496,-0.2728,0.0,0.8739,0.8739,-0.0746,-0.0549,0.0197,0.1282,0.5447,0.4165,0.4043,0.5732,0.1689,67.74,46.22,-0.2152,50.9,8.3,-0.4259,30.25,7.24,-0.2301,37.37,7.73,-0.2964,0.00021480765862034142,0.005954753584553817,0.04,67.44,185.26,0.34456236532569795,0.28
default,None,LRTD,0.0907,0.046,-0.0447,0.1748,0.1444,-0.0304,1.8007,1.0984,-0.7024,0.0061,0.0306,0.0245,0.1292,0.6842,0.555,0.4128,0.7105,0.2976,68.52,33.89,-0.3463,50.89,8.06,-0.4283,31.1,8.19,-0.2292,38.12,8.12,-0.3,0.0001815971853422833,0.007839465017680432,0.02,56.1,186.39,0.14148212148279338,0.44
default,['age'],LRTD,0.0902,0.1011,0.0109,0.1738,0.1463,-0.0275,1.8004,1.2361,-0.5642,0.0061,0.0579,0.0518,0.1287,0.6294,0.5007,0.4122,0.6599,0.2477,68.5,39.01,-0.295,50.9,8.23,-0.4267,31.05,8.24,-0.2281,38.08,8.23,-0.2985,0.0002173652993052707,0.018660441874768997,0.01,61.23,186.29,0.20757844233562417,0.38
default,['balance'],LRTD,0.0948,0.0017,-0.0931,0.1787,0.1405,-0.0382,1.8584,1.0326,-0.8258,0.0086,0.0105,0.0019,0.1297,0.6405,0.5108,0.4126,0.6666,0.2539,68.45,37.67,-0.3078,50.86,8.11,-0.4275,31.04,7.77,-0.2326,38.04,7.94,-0.3011,0.00018840627617220767,0.0023667610721171653,0.08,59.66,186.07,0.11518373151505122,0.47
default,['duration'],LRTD,0.1749,0.147,-0.0279,0.3558,0.228,-0.1278,2.6012,1.7381,-0.8631,-0.0217,0.0515,0.0733,0.2454,0.6765,0.4311,0.4373,0.6891,0.2518,51.87,33.78,-0.1808,48.29,7.89,-0.404,22.89,6.83,-0.1606,30.61,7.32,-0.2329,0.00013326153643323705,0.03601089605546461,0.0,52.72,150.19,0.14148212148279338,0.44
default,['education'],LRTD,0.0913,0.0646,-0.0266,0.1807,0.1334,-0.0473,1.8427,1.1526,-0.6901,0.0127,0.039,0.0263,0.1254,0.6625,0.5371,0.4068,0.6909,0.2842,68.38,36.08,-0.3231,50.95,8.12,-0.4284,30.67,8.35,-0.2232,37.76,8.24,-0.2953,0.0002014724111287754,0.010228132610793163,0.02,58.54,185.45,0.14148212148279338,0.44
default,['housing'],LRTD,0.0879,0.075,-0.0128,0.2244,0.293,0.0685,1.8346,1.4215,-0.4132,0.0219,0.0512,0.0292,0.1211,0.6472,0.5261,0.3803,0.6709,0.2906,66.35,36.08,-0.3028,51.0,8.12,-0.4288,28.24,6.99,-0.2125,35.35,7.51,-0.2784,0.0001536936164626384,0.025517780035412503,0.01,55.95,178.54,0.24799581483148547,0.34
default,"['loan', 'duration']",LRTD,0.1881,0.1353,-0.0528,0.367,0.1397,-0.2273,1.4769,1.5258,0.0489,-0.015,0.052,0.067,0.2502,0.6303,0.3801,0.4277,0.6409,0.2132,50.34,38.0,-0.1234,48.13,7.83,-0.403,21.61,6.42,-0.1519,29.46,7.06,-0.224,0.0001348652805119647,0.0224396326427783,0.01,56.57,147.2,0.172167236066597,0.41
default,['loan'],LRTD,0.0909,0.0046,-0.0863,0.206,0.1413,-0.0647,1.813,1.0164,-0.7966,-0.0174,0.0117,0.0291,0.1282,0.6643,0.5361,0.4043,0.69,0.2857,67.74,35.38,-0.3235,50.9,8.08,-0.4282,30.25,7.82,-0.2243,37.37,7.95,-0.2943,0.00017762815187207355,0.0026908889021205265,0.07,57.37,183.95,0.14148212148279338,0.44
duration,None,LRTD,0.0,0.0424,0.0424,0.2258,0.0824,-0.1434,0.1935,1.1895,0.996,0.0161,0.0063,-0.0098,0.1292,0.5911,0.4619,0.4128,0.6038,0.191,68.52,41.21,-0.2731,50.89,7.72,-0.4316,31.1,5.9,-0.252,38.12,6.69,-0.3143,0.000125614796580593,0.0028569444946606216,0.04,59.57,188.06,0.4622499461255427,0.22
duration,['age'],LRTD,0.0,0.0475,0.0475,0.2258,0.0784,-0.1474,0.1935,1.1946,1.001,0.0161,0.0097,-0.0064,0.1287,0.5495,0.4208,0.4122,0.5645,0.1524,68.5,45.27,-0.2323,50.9,7.84,-0.4306,31.05,6.01,-0.2504,38.08,6.8,-0.3127,0.00014509741865616273,0.0030390370742656644,0.05,64.0,187.96,0.4622499461255427,0.22
duration,['balance'],LRTD,0.0,0.0461,0.0461,0.225,0.0854,-0.1396,0.175,1.2082,1.0332,0.0125,0.0078,-0.0047,0.134,0.5209,0.3869,0.3996,0.5337,0.1341,68.05,47.86,-0.2019,49.22,8.0,-0.4122,29.39,5.83,-0.2356,36.34,6.74,-0.296,0.0001504416493188681,0.00284382537883033,0.05,66.52,182.46,0.4622499461255427,0.22
duration,['default'],LRTD,0.0,0.0441,0.0441,0.225,0.0768,-0.1482,0.175,1.2074,1.0324,0.0125,0.0063,-0.0062,0.1333,0.5219,0.3886,0.3999,0.5354,0.1355,68.15,47.73,-0.2042,49.24,8.03,-0.4121,29.47,5.86,-0.2361,36.42,6.78,-0.2964,0.00015228377026465958,0.0025589906734231646,0.06,66.51,182.74,0.4622499461255427,0.22
duration,['education'],LRTD,0.0,0.0436,0.0436,0.3226,0.0816,-0.241,0.0968,1.1945,1.0977,0.0645,0.006,-0.0585,0.1254,0.5926,0.4672,0.4068,0.6065,0.1998,68.38,40.6,-0.2779,50.95,7.82,-0.4314,30.67,5.68,-0.2499,37.76,6.58,-0.3118,0.00011867024151812729,0.002852719421763826,0.04,58.73,187.16,0.34456236532569795,0.28
duration,['housing'],LRTD,0.0,-0.0205,-0.0205,0.1935,0.0552,-0.1384,0.2258,1.0147,0.7889,0.0,-0.0195,-0.0195,0.1211,0.6806,0.5595,0.3803,0.6879,0.3077,66.35,33.54,-0.3281,51.0,7.44,-0.4356,28.24,6.42,-0.2183,35.35,6.89,-0.2845,0.00011035929626483372,0.0016156246714039788,0.07,52.48,180.4,0.24799581483148547,0.34
duration,['loan'],LRTD,0.0,0.0353,0.0353,0.2258,0.0725,-0.1533,0.1935,1.2344,1.0408,0.0161,0.0037,-0.0124,0.1282,0.4966,0.3684,0.4043,0.5064,0.102,67.74,49.11,-0.1863,50.9,7.71,-0.4318,30.25,4.66,-0.2559,37.37,5.82,-0.3156,0.0001027593417014407,0.0021148249235072684,0.05,65.44,185.7,0.4622499461255427,0.22
education,None,LRTD,-0.1001,-0.0008,0.0993,0.1483,0.0657,-0.0825,0.6663,1.0267,0.3604,-0.0192,-0.0035,0.0157,0.1292,0.5883,0.4591,0.4128,0.6174,0.2045,68.52,41.53,-0.2699,50.89,8.37,-0.4252,31.1,7.05,-0.2405,38.12,7.65,-0.3046,0.0001877263708728865,0.001358601508548124,0.14,62.91,187.3,0.4622499461255427,0.22
education,['age'],LRTD,-0.1016,-0.0421,0.0595,0.1495,0.0466,-0.1029,0.6641,0.9507,0.2867,-0.0199,-0.0259,-0.006,0.1287,0.5395,0.4107,0.4122,0.5703,0.1582,68.5,46.29,-0.2221,50.9,8.45,-0.4245,31.05,7.09,-0.2395,38.08,7.71,-0.3036,0.0002139603191308489,0.001633739761226009,0.13,67.86,187.19,0.34456236532569795,0.28
education,['balance'],LRTD,-0.1044,0.0111,0.1155,0.1516,0.0777,-0.0738,0.6607,1.0693,0.4086,-0.0218,-0.0013,0.0205,0.1297,0.5515,0.4218,0.4126,0.5801,0.1674,68.45,44.94,-0.2351,50.86,8.38,-0.4248,31.04,6.84,-0.2419,38.04,7.53,-0.3051,0.00019401735426219656,0.0015371891607363637,0.13,65.98,187.05,0.4622499461255427,0.22
education,['default'],LRTD,-0.1027,-0.0004,0.1023,0.148,0.0675,-0.0805,0.6614,1.0284,0.367,-0.0217,-0.0034,0.0183,0.1333,0.5872,0.4539,0.3999,0.6173,0.2174,68.15,41.66,-0.2649,49.24,8.65,-0.4059,29.47,7.29,-0.2218,36.42,7.91,-0.2851,0.00020779833574245888,0.0013758641384916002,0.15,63.81,181.95,0.4622499461255427,0.22
education,['duration'],LRTD,-0.2068,-0.0606,0.1462,0.3199,0.0758,-0.2441,0.515,0.9217,0.4067,-0.0372,-0.0254,0.0118,0.2454,0.5397,0.2943,0.4373,0.552,0.1147,51.87,46.49,-0.0538,48.29,7.94,-0.4035,22.89,6.14,-0.1675,30.61,6.92,-0.2369,0.00015682565171370826,0.00242245628488032,0.06,65.73,151.79,0.40081416938293446,0.25
education,['housing'],LRTD,-0.098,0.0279,0.1259,0.1337,0.0523,-0.0814,0.6674,1.0974,0.43,-0.0249,0.0073,0.0322,0.1211,0.5443,0.4233,0.3803,0.5686,0.1884,66.35,44.71,-0.2164,51.0,8.36,-0.4264,28.24,5.9,-0.2234,35.35,6.92,-0.2843,0.00015270979351529498,0.0019426229248585688,0.08,64.13,179.65,0.4622499461255427,0.22
education,"['loan', 'duration']",LRTD,-0.151,-0.0343,0.1167,0.2933,0.0542,-0.2391,0.5334,0.943,0.4096,0.0054,-0.0165,-0.0219,0.2502,0.4975,0.2473,0.4277,0.5076,0.0799,50.34,49.41,-0.0094,48.13,7.93,-0.402,21.61,5.12,-0.1649,29.46,6.22,-0.2324,0.00012477108702782093,0.0015107359075672501,0.08,67.06,147.86,0.40081416938293446,0.25
education,['loan'],LRTD,-0.1028,-0.0003,0.1025,0.1493,0.0689,-0.0804,0.6613,1.0298,0.3685,-0.0206,-0.0037,0.0169,0.1282,0.6028,0.4746,0.4043,0.6312,0.2269,67.74,40.23,-0.2751,50.9,8.31,-0.4258,30.25,7.11,-0.2314,37.37,7.66,-0.2971,0.00018231558753857428,0.0014291109197309482,0.13,61.6,184.93,0.4622499461255427,0.22
housing,None,LRTD,0.1729,-0.0348,-0.2077,0.2738,0.0798,-0.194,2.9006,0.9433,-1.9573,0.0285,-0.0125,-0.0409,0.1292,0.614,0.4848,0.4128,0.6414,0.2285,68.52,38.93,-0.2959,50.89,8.3,-0.4258,31.1,6.91,-0.2419,38.12,7.54,-0.3058,0.00016839293374354397,0.002119538620496411,0.08,59.92,184.98,0.09289194088370532,0.5
housing,['age'],LRTD,0.1724,-0.0218,-0.1942,0.2726,0.0656,-0.207,2.903,0.9532,-1.9498,0.0288,-0.0043,-0.0332,0.1287,0.5613,0.4326,0.4122,0.5903,0.1782,68.5,44.21,-0.243,50.9,8.36,-0.4254,31.05,7.05,-0.24,38.08,7.65,-0.3043,0.0001990794425855415,0.001616622537234735,0.12,65.59,184.87,0.09289194088370532,0.5
housing,['balance'],LRTD,0.1752,-0.0769,-0.252,0.2738,0.1078,-0.166,2.9457,0.854,-2.0917,0.0304,-0.03,-0.0604,0.1297,0.5073,0.3776,0.4126,0.5321,0.1195,68.45,48.38,-0.2007,50.86,8.39,-0.4247,31.04,5.91,-0.2512,38.04,6.94,-0.311,0.00016655540244204945,0.002948715139846352,0.06,67.88,184.68,0.09289194088370532,0.5
housing,['default'],LRTD,0.1799,-0.0434,-0.2233,0.2742,0.0676,-0.2066,2.9777,0.9213,-2.0564,0.035,-0.0151,-0.0502,0.1333,0.5324,0.3991,0.3999,0.5616,0.1617,68.15,46.3,-0.2185,49.24,8.74,-0.405,29.47,6.66,-0.2281,36.42,7.56,-0.2886,0.00020374706239231806,0.0019470866118795002,0.1,67.58,179.51,0.09289194088370532,0.5
housing,['duration'],LRTD,0.4384,0.0169,-0.4215,0.7225,0.1329,-0.5896,128.0266,1.1311,-126.8955,0.039,-0.0005,-0.0394,0.2454,0.5755,0.3301,0.4373,0.5848,0.1475,51.87,42.65,-0.0921,48.29,7.83,-0.4046,22.89,5.77,-0.1712,30.61,6.64,-0.2397,0.00012795236896712394,0.0022795940780941013,0.06,61.03,23.99,0.05870740843120495,0.56
housing,['education'],LRTD,0.1696,-0.0248,-0.1945,0.2674,0.0714,-0.196,2.9021,0.944,-1.9581,0.0292,-0.0081,-0.0374,0.1254,0.5721,0.4466,0.4068,0.5971,0.1904,68.38,44.3,-0.2408,50.95,8.09,-0.4286,30.67,7.56,-0.2311,37.76,7.82,-0.2994,0.0002118332220959583,0.0017061124596227943,0.12,66.09,184.13,0.09289194088370532,0.5
housing,"['loan', 'duration']",LRTD,0.4999,-0.011,-0.5109,0.7623,0.1321,-0.6302,95.3616,1.1705,-94.1911,0.0781,-0.0134,-0.0915,0.2502,0.4764,0.2262,0.4277,0.4827,0.055,50.34,50.39,0.0005,48.13,7.8,-0.4033,21.61,4.09,-0.1752,29.46,5.37,-0.2409,8.63258963771912e-05,0.0019020990051596535,0.05,65.83,52.2,0.05870740843120495,0.56
housing,['loan'],LRTD,0.1718,-0.0438,-0.2156,0.2652,0.0662,-0.199,2.9434,0.9225,-2.0209,0.0332,-0.0152,-0.0485,0.1282,0.5516,0.4234,0.4043,0.5785,0.1742,67.74,44.6,-0.2314,50.9,8.37,-0.4253,30.25,6.49,-0.2376,37.37,7.32,-0.3006,0.00017735793288040604,0.002002090490940401,0.09,65.08,182.55,0.09289194088370532,0.5
job,None,LRTD,0.0668,0.066,-0.0008,0.125,0.0679,-0.0571,1.5745,1.1369,-0.4376,-0.0037,0.0306,0.0342,0.1292,0.5477,0.4185,0.4128,0.5774,0.1645,68.52,46.34,-0.2218,50.89,8.29,-0.4259,31.1,7.6,-0.2351,38.12,7.93,-0.3019,0.00023138183387515823,0.005406592587368385,0.04,68.15,186.72,0.2936215439289058,0.31
job,['age'],LRTD,0.0663,-0.0022,-0.0685,0.125,0.0241,-0.1009,1.5816,1.0078,-0.5738,-0.0041,-0.0021,0.002,0.1287,0.5114,0.3827,0.4122,0.5432,0.1311,68.5,49.29,-0.1922,50.9,8.45,-0.4245,31.05,7.29,-0.2376,38.08,7.83,-0.3025,0.00023755417656127435,0.0008610197131695663,0.28,71.3,186.6,0.24799581483148547,0.34
job,['balance'],LRTD,0.0651,0.0509,-0.0142,0.1201,0.0682,-0.0519,1.5294,1.1097,-0.4197,-0.0033,0.021,0.0243,0.1297,0.5529,0.4233,0.4126,0.581,0.1684,68.45,45.14,-0.2331,50.86,8.31,-0.4255,31.04,7.04,-0.24,38.04,7.63,-0.3042,0.00020130707222944962,0.0038270452135210718,0.05,66.2,186.53,0.2936215439289058,0.31
job,['default'],LRTD,0.0702,0.0682,-0.002,0.1285,0.0702,-0.0583,1.6055,1.1419,-0.4636,-0.0023,0.0316,0.0339,0.1333,0.546,0.4127,0.3999,0.5767,0.1768,68.15,46.53,-0.2163,49.24,8.57,-0.4067,29.47,7.85,-0.2162,36.42,8.19,-0.2823,0.0002563445654237986,0.0056781798843990525,0.05,69.12,181.33,0.27014853272850603,0.33
job,['duration'],LRTD,0.1275,0.0658,-0.0617,0.2239,0.0764,-0.1475,1.9314,1.1605,-0.7709,0.0068,0.0288,0.022,0.2454,0.5104,0.265,0.4373,0.5188,0.0815,51.87,47.92,-0.0395,48.29,7.86,-0.4043,22.89,4.86,-0.1803,30.61,6.01,-0.246,0.00011001343694874808,0.0051864136845105714,0.02,64.66,151.09,0.14148212148279338,0.44
job,['education'],LRTD,0.0658,0.0227,-0.0431,0.1233,0.0391,-0.0842,1.5725,1.0464,-0.5261,-0.0023,0.0092,0.0115,0.1254,0.592,0.4665,0.4068,0.6213,0.2145,68.38,41.06,-0.2732,50.95,8.38,-0.4257,30.67,7.02,-0.2365,37.76,7.64,-0.3013,0.0001843612443165164,0.0018798061273443214,0.1,62.34,185.87,0.24799581483148547,0.34
job,['housing'],LRTD,0.0698,0.0741,0.0044,0.1362,0.0747,-0.0615,1.7924,1.1658,-0.6266,-0.0057,0.0337,0.0394,0.1211,0.482,0.361,0.3803,0.5106,0.1303,66.35,51.31,-0.1505,51.0,8.47,-0.4254,28.24,6.45,-0.218,35.35,7.32,-0.2803,0.0002048578557626595,0.005798491134872367,0.04,71.54,178.8,0.34456236532569795,0.28
job,"['loan', 'duration']",LRTD,0.1111,0.0681,-0.043,0.2364,0.0768,-0.1596,2.1941,1.1674,-1.0267,-0.0194,0.0293,0.0487,0.2502,0.5227,0.2725,0.4277,0.5305,0.1028,50.34,47.02,-0.0333,48.13,7.8,-0.4033,21.61,5.04,-0.1657,29.46,6.12,-0.2334,0.00011311321673699714,0.005455259693444436,0.02,63.96,146.67,0.14148212148279338,0.44
job,['loan'],LRTD,0.0611,0.0744,0.0133,0.1277,0.0749,-0.0528,1.5891,1.149,-0.4401,-0.0104,0.0332,0.0437,0.1282,0.5399,0.4116,0.4043,0.5689,0.1646,67.74,45.45,-0.2229,50.9,8.51,-0.4239,30.25,6.42,-0.2384,37.37,7.32,-0.3006,0.00018146414182762676,0.00620654230584044,0.03,65.65,184.31,0.34456236532569795,0.28
loan,None,LRTD,0.1015,0.0828,-0.0187,0.2065,0.0855,-0.1209,2.8621,1.1504,-1.7118,-0.0055,0.0452,0.0506,0.1292,0.6289,0.4997,0.4128,0.658,0.2452,68.52,38.47,-0.3005,50.89,8.24,-0.4265,31.1,7.74,-0.2336,38.12,7.98,-0.3013,0.00019583944426396286,0.010034811664938217,0.02,60.22,185.31,0.14148212148279338,0.44
