"Swap 
 Percentage",Measurement,Feature,age,campaign,loan,housing,balance,default,job,duration,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Total variation
 distance",education,-,0.0152/0.023,-,-,-,-,-,-,-,,0.02302837034443502,0.02302837034443502,0.034542555516652536,0.06128149039884657,[],[0.02302837034443503],[0.06128149039884657]
10%,"Jensen-Shannon
 divergence",education,-,0.0175/0.0218,-,-,-,-,-,-,-,,0.0238380076257126,0.0238380076257126,0.03474369743327623,0.039262978985111587,[],[0.02181137961512726],[0.039262978985111587]
30%,"Hellinger
 distance",education,-,0.4789/0.6215,-,-,-,-,-,-,-,,0.6677949820059195,0.6677949820059195,0.978541751698887,1.100382197953779,[],[0.6214935393859351],[1.100382197953779]
30%,"Wasserstein
 distance",education,-,0.0011/0.0024,-,-,-,-,-,-,-,,0.00158904215559931,0.00158904215559931,0.002812493299854685,0.0035016801438551197,[],[0.00244690228851075],[0.0035016801438551197]
30%,"Total variation
 distance",education,-,0.0496/0.0741,-,-,-,-,-,-,-,,0.07411454084092146,0.07411454084092146,0.11117181126138227,0.19784315252876716,[],[0.07411454084092162],[0.19784315252876716]
30%,"Jensen-Shannon
 divergence",education,-,0.0292/0.0385,-,-,-,-,-,-,-,,0.04141624653873907,0.04141624653873907,0.06064189082903422,0.06768339293492925,[],[0.03845128858059029],[0.06768339293492925]
50%,"Hellinger
 distance",education,-,0.6558/0.8002,-,-,-,-,-,-,-,,0.859509106670602,0.859509106670602,1.2596086756803346,1.4560296510725488,[],[0.8001991380194653],[1.4560296510725488]
50%,"Wasserstein
 distance",education,-,0.0018/0.0041,-,-,-,-,-,-,-,,0.00261561335419415,0.00261561335419415,0.004647764458168845,0.00586437800661392,[],[0.00406430220794939],[0.00586437800661392]
50%,"Total variation
 distance",education,-,0.0947/0.1204,-,-,-,-,-,-,-,,0.12036202573304944,0.12036202573304944,0.18054303859957405,0.33546890494244586,[],[0.12036202573304919],[0.33546890494244586]
50%,"Jensen-Shannon
 divergence",education,-,0.0398/0.0494,-,-,-,-,-,-,-,,0.053308600221218694,0.053308600221218694,0.07801981148845903,0.08919172752863458,[],[0.04942242253448068],[0.08919172752863458]
70%,"Hellinger
 distance",education,-,0.7636/0.9419,-,-,-,-,-,-,-,,1.0130680393721645,1.0130680393721645,1.4840428625757944,1.70558820964784,[],[0.9419496464072596],[1.70558820964784]
70%,"Wasserstein
 distance",education,-,0.0019/0.0058,-,-,-,-,-,-,-,,0.00371247453402833,0.00371247453402833,0.0065883698502822,0.0076924841704234,[],[0.0057517906325077394],[0.0076924841704234]
70%,"Total variation
 distance",education,-,0.1383/0.1648,-,-,-,-,-,-,-,,0.16481896040552363,0.16481896040552363,0.24722844060828575,0.4678932609076957,[],[0.16481896040552427],[0.4678932609076957]
