Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,fbs,['restecg'],0.9,0.8,0.222,0.111,0.062,0.312,0.08,0.12,0.8,1.3,0.14200000000000002,0.2115,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,thalach,['restecg'],0.9,0.8,1.0,0.25,0.0,-0.103,1.0,0.339,0.0,0.51,0.5,0.07350000000000001,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,exang,['restecg'],0.9,0.8,0.4,0.2,0.059,-0.824,0.568,0.682,0.242,0.318,0.2295,-0.31199999999999994,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,oldpeak,['restecg'],0.9,0.8,-1.0,0.25,0.0,-0.346,0.25,0.475,0,0.382,-0.5,-0.04799999999999999,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,ca,['restecg'],0.9,0.8,0.333,0.167,0.053,0.263,0.8,0.6,0.2,0.4,0.193,0.21500000000000002,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,thal,['restecg'],0.9,0.8,0.107,-0.143,0.059,0.294,0.476,0.238,0.286,0.643,0.08299999999999999,0.0755,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,sex,['age'],0.9333333333333333,0.7666666666666667,0.2,0.1,0.0,0.545,0.27,0.603,3.429,6.429,0.1,0.3225,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,cp,['age'],0.9333333333333333,0.7666666666666667,-1.0,-0.5,0.0,0.389,0.474,0.555,0,4.053,-0.5,-0.055499999999999994,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,trestbps,['age'],0.9333333333333333,0.7666666666666667,-0.5,0.1,0.0,-0.026,0.143,0.137,0,1.319,-0.25,0.037000000000000005,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,chol,['age'],0.9333333333333333,0.7666666666666667,1.0,0.167,0.0,0.178,1.0,0.062,0.0,1.125,0.5,0.1725,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,fbs,['age'],0.9333333333333333,0.7666666666666667,0.222,0.111,0.0,0.375,0.12,0.16,0.7,1.4,0.111,0.243,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,restecg,['age'],0.9333333333333333,0.7666666666666667,0.9,0.0,0.0,0.357,0.6,0.333,0.0,0,0.45,0.1785,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,thalach,['age'],0.9333333333333333,0.7666666666666667,1.0,0.25,0.0,-0.026,1.0,0.281,0.0,0.595,0.5,0.112,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
0,exang,['age'],0.9333333333333333,0.7666666666666667,0.4,0.2,0.0,-0.206,0.614,0.466,0.182,0.468,0.2,-0.002999999999999989,0.818,0.909,0.0,0.316,0.3,0.533,1.0,0.625,0.818,0.909,0.9,0.741,0.933,0.767
