Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
chol,['ca'],fairSMOTE,0.2,0.004,-0.196,0.2,0.1284,-0.0716,0.1,0.9545,0.8545,0.2,0.0096,-0.1904,0.1536,0.4181,0.2645,0.4408,0.641,0.2002,81.14,70.4,-0.1074,80.95,66.82,-0.1413,76.86,87.87,0.1101,78.32,73.91,-0.044,0.3054985452295398,0.0015793466945634733,193.43,297.46,315.91,0.7527138062630524,0.09
chol,['oldpeak'],fairSMOTE,0.1,0.0278,-0.0722,0.35,0.1068,-0.2432,0.0,0.9702,0.9702,0.1,0.0253,-0.0747,0.1236,0.3935,0.2699,0.431,0.6146,0.1836,83.48,70.62,-0.1286,85.35,68.46,-0.1689,78.77,85.1,0.0633,81.21,73.65,-0.0756,0.30302796909944707,0.0030400607141654254,99.68,296.18,328.14,1.0,0.0
chol,['restecg'],fairSMOTE,0.1,-0.0123,-0.1123,0.35,0.1308,-0.2192,0.0,0.9286,0.9286,0.1,0.0074,-0.0926,0.1242,0.3893,0.2651,0.4345,0.6192,0.1847,83.83,71.22,-0.1261,85.29,68.45,-0.1683,79.5,86.43,0.0693,81.65,74.3,-0.0735,0.3130851404396994,0.0015203823907495584,205.93,298.9,329.59,1.0,0.0
chol,['thal'],fairSMOTE,0.1,0.1185,0.0185,0.3,0.0999,-0.2001,0.0,1.0636,1.0636,0.15,0.0326,-0.1174,0.1241,0.2731,0.149,0.4108,0.523,0.1122,81.45,75.54,-0.0591,84.97,71.55,-0.1342,75.05,80.65,0.056,78.82,75.0,-0.0382,0.3269410582411965,0.004682423673031071,69.82,300.99,319.61,0.9163591402734885,0.03
cp,None,fairSMOTE,0.1054,-0.0835,-0.1889,0.4744,0.2258,-0.2485,1.8188,1.5374,-0.2814,-0.3434,-0.2111,0.1323,0.1236,0.4393,0.3157,0.4377,0.6417,0.204,84.17,68.53,-0.1564,85.32,65.31,-0.2001,80.16,86.21,0.0605,81.96,72.41,-0.0955,0.2793617231708286,0.016959003127816615,16.47,289.49,327.72,0.5995101785600032,0.16
cp,['age'],fairSMOTE,0.0943,-0.0813,-0.1755,0.469,0.2141,-0.2549,1.8188,1.5015,-0.3173,-0.3489,-0.1941,0.1549,0.1179,0.4499,0.332,0.4343,0.6548,0.2205,84.51,68.58,-0.1592,85.98,64.95,-0.2103,80.16,87.71,0.0755,82.31,72.68,-0.0963,0.2839844231577421,0.01444700791123426,19.66,291.07,329.06,0.5995101785600032,0.16
cp,['ca'],fairSMOTE,0.1544,-0.1006,-0.255,0.4844,0.1943,-0.2901,2.0456,1.5435,-0.5021,-0.3013,-0.2425,0.0587,0.1536,0.459,0.3054,0.4408,0.6561,0.2153,81.14,67.42,-0.1371,80.95,63.57,-0.1738,76.86,86.41,0.0955,78.32,71.39,-0.0693,0.2643991204413813,0.019635256092291824,13.47,285.73,313.22,0.5995101785600032,0.16
cp,['oldpeak'],fairSMOTE,0.106,-0.0981,-0.2041,0.4878,0.2304,-0.2574,1.5058,1.7139,0.2081,-0.3566,-0.2465,0.1101,0.1236,0.4203,0.2967,0.431,0.6268,0.1958,83.48,69.08,-0.144,85.35,66.66,-0.1869,78.77,85.14,0.0637,81.21,72.65,-0.0856,0.2848582702366906,0.0226445826008209,12.58,290.28,325.16,0.5995101785600032,0.16
cp,['restecg'],fairSMOTE,0.1031,-0.1024,-0.2056,0.4698,0.2185,-0.2513,1.787,1.5921,-0.1949,-0.3412,-0.2402,0.101,0.1242,0.427,0.3028,0.4345,0.6403,0.2058,83.83,69.39,-0.1444,85.29,65.59,-0.197,79.5,86.78,0.0728,81.65,72.88,-0.0877,0.28786295146894,0.01969741385846051,14.61,291.55,326.42,0.5995101785600032,0.16
cp,['thal'],fairSMOTE,0.102,-0.1083,-0.2103,0.4365,0.2308,-0.2057,1.7819,1.244,-0.5379,-0.3171,-0.1745,0.1426,0.1241,0.3741,0.25,0.4108,0.5785,0.1677,81.45,71.3,-0.1014,84.97,65.72,-0.1925,75.05,82.64,0.0759,78.82,72.46,-0.0636,0.28057668031991934,0.008268473990126509,33.93,289.68,316.58,0.5286121252556877,0.19
exang,None,fairSMOTE,-0.2322,-0.0382,0.194,0.5658,0.2653,-0.3005,0.3101,0.6863,0.3762,0.0413,0.0123,-0.0291,0.1236,0.4651,0.3415,0.4377,0.6613,0.2236,84.17,67.33,-0.1684,85.32,63.52,-0.218,80.16,87.14,0.0698,81.96,71.67,-0.1029,0.26709458570039885,0.00302224767767816,88.38,288.08,329.64,0.6744240722352938,0.12
