Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
absences,['Pstatus'],FairSmote,0.2888,0.0937,-0.1951,0.3906,0.1797,-0.2109,0.0,1.3212,1.3212,-0.1351,-0.0591,0.076,0.1937,0.3818,0.1881,0.3102,0.4684,0.1582,68.7,60.92,-0.0778,61.17,49.14,-0.1203,49.95,59.41,0.0946,54.26,52.9,-0.0136,0.09408190294619999,0.00685460402981133,13.73,220.16,232.66,0.8336348830246822,-0.06
absences,['age'],FairSmote,0.2946,0.1182,-0.1764,0.3944,0.205,-0.1894,0.0,1.3431,1.3431,-0.1295,0.0092,0.1387,0.2025,0.3956,0.1931,0.3177,0.4711,0.1534,68.5,59.67,-0.0883,60.4,47.76,-0.1264,50.27,58.14,0.0787,54.32,51.68,-0.0264,0.08563414130071911,0.006210309258295033,13.79,215.14,232.08,0.7527138062630524,-0.09
absences,['higher'],FairSmote,0.2511,0.1214,-0.1297,0.3633,0.2041,-0.1592,0.0,1.2895,1.2895,-0.1444,0.0327,0.1771,0.177,0.4245,0.2475,0.289,0.4892,0.2002,68.51,57.28,-0.1123,62.01,46.0,-0.1601,47.24,57.53,0.1029,52.77,50.04,-0.0273,0.07584839737490111,0.011205137693498554,6.77,208.61,229.16,0.7527138062630524,-0.09
activities,None,FairSmote,-0.0726,-0.0714,0.0012,0.0908,0.1213,0.0305,0.8137,0.8509,0.0372,-0.002,0.0088,0.0108,0.198,0.3451,0.1471,0.313,0.4535,0.1405,68.41,64.65,-0.0376,60.66,51.18,-0.0948,50.02,59.92,0.099,54.03,54.9,0.0087,0.10884488843270769,0.0027850063884492997,39.08,229.04,231.73,0.8336348830246822,-0.06
activities,['Medu'],FairSmote,-0.1255,-0.0497,0.0758,0.098,0.0886,-0.0094,0.7496,0.8802,0.1306,-0.0557,0.0057,0.0614,0.2092,0.3848,0.1756,0.3027,0.4921,0.1894,65.63,62.92,-0.0271,56.94,50.36,-0.0658,45.42,63.81,0.1839,49.66,55.85,0.0619,0.11292297521788351,0.0020378774685252754,55.41,231.38,216.15,0.6744240722352938,-0.12
activities,['Pstatus'],FairSmote,-0.0765,-0.0415,0.035,0.1038,0.1064,0.0026,0.7915,0.923,0.1315,0.0042,0.0027,-0.0015,0.1937,0.3619,0.1682,0.3102,0.4673,0.1571,68.7,63.3,-0.054,61.17,50.29,-0.1088,49.95,60.34,0.1039,54.26,54.45,0.0019,0.10459021330382307,0.0019155816323573997,54.6,226.82,232.68,0.9163591402734885,-0.03
activities,['age'],FairSmote,-0.0875,-0.0775,0.01,0.1006,0.1386,0.038,0.76,0.8852,0.1252,0.0002,-0.039,-0.0392,0.2025,0.3621,0.1596,0.3177,0.4768,0.1591,68.5,64.45,-0.0405,60.4,51.52,-0.0888,50.27,63.48,0.1321,54.32,56.48,0.0216,0.11905297578574768,0.0025104807222662,47.42,234.27,232.08,0.8336348830246822,-0.06
activities,['higher'],FairSmote,-0.0941,-0.0335,0.0606,0.1256,0.0933,-0.0323,0.6595,0.8755,0.216,0.0374,0.041,0.0037,0.177,0.3392,0.1622,0.289,0.4404,0.1514,68.51,63.69,-0.0482,62.01,50.61,-0.114,47.24,57.41,0.1017,52.77,53.44,0.0067,0.09889425745155075,0.0018881638211141998,52.38,223.67,229.15,0.9163591402734885,-0.03
age,None,FairSmote,0.0801,0.2178,0.1377,0.2985,0.3271,0.0286,1.0036,1.372,0.3684,-0.1206,-0.0968,0.0238,0.198,0.3431,0.1451,0.313,0.4316,0.1186,68.41,62.45,-0.0596,60.66,49.03,-0.1163,50.02,54.21,0.0419,54.03,50.97,-0.0306,0.08460549410191176,0.018397491220037275,4.6,214.01,231.06,1.0,0.0
age,['Medu'],FairSmote,0.0853,0.2412,0.1559,0.2705,0.3165,0.046,0.9755,3.348,2.3725,-0.1287,-0.0604,0.0683,0.2092,0.3969,0.1877,0.3027,0.4547,0.152,65.63,59.18,-0.0645,56.94,45.56,-0.1138,45.42,52.61,0.0719,49.66,48.39,-0.0127,0.06864661975000111,0.03745966779033278,1.83,201.2,215.6,0.9163591402734885,-0.03
age,['Pstatus'],FairSmote,0.0674,0.2844,0.217,0.2888,0.3596,0.0708,0.982,1.5539,0.5719,-0.1237,-0.0932,0.0305,0.1937,0.3474,0.1537,0.3102,0.4386,0.1284,68.7,62.74,-0.0596,61.17,49.16,-0.1201,49.95,55.2,0.0525,54.26,51.5,-0.0276,0.08767393362945056,0.024943850555083972,3.51,215.68,232.05,1.0,0.0
age,['higher'],FairSmote,0.0903,0.2664,0.1761,0.2626,0.3589,0.0963,0.8695,2.0401,1.1706,-0.0817,-0.092,-0.0103,0.177,0.3218,0.1448,0.289,0.4152,0.1262,68.51,63.12,-0.0539,62.01,49.85,-0.1216,47.24,53.3,0.0606,52.77,50.94,-0.0183,0.0854315036846786,0.028971027680401502,2.95,213.85,228.8,0.9163591402734885,-0.03
famrel,None,FairSmote,-0.0072,-0.0097,-0.0025,0.0863,0.099,0.0127,1.4771,1.1833,-0.2938,-0.089,-0.0638,0.0253,0.198,0.3971,0.1991,0.313,0.4634,0.1504,68.41,59.86,-0.0855,60.66,46.2,-0.1446,50.02,55.22,0.052,54.03,49.93,-0.041,0.07625163262851538,0.0030579815991212725,24.94,209.29,231.01,0.6744240722352938,0.12
famrel,['Medu'],FairSmote,0.0339,0.0526,0.0187,0.1144,0.1207,0.0063,1.6425,1.4025,-0.24,-0.0832,-0.0639,0.0193,0.2092,0.3987,0.1895,0.3027,0.472,0.1693,65.63,60.73,-0.049,56.94,47.38,-0.0956,45.42,57.55,0.1213,49.66,51.6,0.0194,0.08544096080242859,0.005427078713086316,15.74,215.03,215.32,0.8336348830246822,-0.06
famrel,['Pstatus'],FairSmote,-0.0062,0.0633,0.0695,0.0931,0.1569,0.0638,1.527,1.5176,-0.0094,-0.0953,-0.0828,0.0125,0.1937,0.3949,0.2012,0.3102,0.4508,0.1406,68.7,59.58,-0.0911,61.17,46.12,-0.1505,49.95,53.21,0.0326,54.26,49.03,-0.0523,0.07169176070961666,0.008212220928258362,8.73,205.48,231.89,0.6744240722352938,0.12
famrel,['age'],FairSmote,-0.0094,-0.0217,-0.0123,0.0798,0.0709,-0.0089,1.3922,1.1203,-0.2719,-0.0856,-0.0592,0.0264,0.2025,0.3706,0.1681,0.3177,0.4633,0.1456,68.5,62.74,-0.0576,60.4,49.97,-0.1043,50.27,60.02,0.0975,54.32,53.98,-0.0034,0.101581336288859,0.002146257242931519,47.33,224.94,231.49,0.7527138062630524,0.09
famrel,['higher'],FairSmote,0.0101,-0.0007,-0.0108,0.1134,0.085,-0.0284,1.855,1.1816,-0.6734,-0.0858,-0.0508,0.035,0.177,0.4024,0.2254,0.289,0.4644,0.1754,68.51,59.96,-0.0855,62.01,46.55,-0.1546,47.24,55.28,0.0804,52.77,50.0,-0.0277,0.07714903376923077,0.0026105592881712093,29.55,209.92,228.03,0.6744240722352938,0.12
famsup,None,FairSmote,-0.0858,-0.0444,0.0414,0.0789,0.086,0.0071,0.8509,0.9667,0.1158,-0.021,-0.0197,0.0013,0.198,0.3497,0.1517,0.313,0.4612,0.1482,68.41,65.03,-0.0338,60.66,50.96,-0.097,50.02,60.83,0.1081,54.03,55.15,0.0112,0.11116738625813335,0.0015779419804224,70.45,230.41,231.67,0.7527138062630524,-0.09
famsup,['Medu'],FairSmote,-0.0744,-0.0412,0.0332,0.0885,0.1171,0.0286,0.8941,1.0255,0.1314,-0.0191,-0.0084,0.0107,0.2092,0.3686,0.1594,0.3027,0.471,0.1683,65.63,63.88,-0.0175,56.94,50.89,-0.0605,45.42,61.76,0.1634,49.66,55.51,0.0585,0.11144419311834668,0.0020410093484367294,54.6,230.37,216.18,0.6744240722352938,-0.12
famsup,['Pstatus'],FairSmote,-0.0742,-0.0563,0.0179,0.0748,0.0714,-0.0034,0.881,0.9465,0.0655,-0.0218,-0.0176,0.0042,0.1937,0.3278,0.1341,0.3102,0.4431,0.1329,68.7,65.89,-0.028,61.17,52.76,-0.0841,49.95,60.31,0.1036,54.26,56.11,0.0185,0.11764479660036427,0.0016860534250705199,69.78,233.52,232.65,0.9163591402734885,-0.03
famsup,['age'],FairSmote,-0.0759,-0.0472,0.0287,0.0755,0.0887,0.0132,0.9035,0.9487,0.0452,-0.0285,-0.0012,0.0273,0.2025,0.3404,0.1379,0.3177,0.4556,0.1379,68.5,65.42,-0.0309,60.4,52.5,-0.079,50.27,61.95,0.1168,54.32,56.62,0.023,0.1204661329442308,0.001839783264866821,65.48,234.92,232.04,0.7527138062630524,-0.09
famsup,['higher'],FairSmote,-0.0856,-0.0468,0.0388,0.0828,0.09,0.0072,0.9096,1.0288,0.1192,-0.0395,-0.0489,-0.0094,0.177,0.3405,0.1635,0.289,0.4374,0.1484,68.51,63.6,-0.0491,62.01,50.65,-0.1136,47.24,56.95,0.0971,52.77,53.16,0.0039,0.0975175424407857,0.0014070413206830094,69.31,222.75,229.06,0.9163591402734885,-0.03
freetime,None,FairSmote,0.1457,0.1272,-0.0185,0.1394,0.1454,0.006,2.0239,1.3961,-0.6278,0.0348,0.0674,0.0326,0.198,0.3655,0.1675,0.313,0.4661,0.1531,68.41,63.98,-0.0443,60.66,50.53,-0.1013,50.02,60.75,0.1073,54.03,54.87,0.0084,0.10776247707878776,0.018027735821377927,5.98,227.69,230.4,1.0,0.0
freetime,['Medu'],FairSmote,0.1405,0.0607,-0.0798,0.1436,0.1065,-0.0371,1.9653,1.1563,-0.809,0.0239,0.0359,0.012,0.2092,0.3814,0.1722,0.3027,0.4767,0.174,65.63,62.55,-0.0308,56.94,49.69,-0.0725,45.42,61.13,0.1571,49.66,54.39,0.0473,0.10333486471819671,0.0054728242730093584,18.88,225.84,215.05,1.0,0.0
freetime,['Pstatus'],FairSmote,0.1265,0.1066,-0.0199,0.1311,0.1351,0.004,1.9124,1.464,-0.4484,0.0362,0.055,0.0188,0.1937,0.3482,0.1545,0.3102,0.4488,0.1386,68.7,63.97,-0.0472,61.17,50.08,-0.1109,49.95,57.62,0.0767,54.26,53.29,-0.0097,0.09837460932017085,0.012983513814794881,7.58,222.58,231.5,0.9163591402734885,0.03
freetime,['age'],FairSmote,0.1383,0.1222,-0.0161,0.1492,0.1419,-0.0073,2.0276,1.363,-0.6646,0.035,0.061,0.026,0.2025,0.353,0.1505,0.3177,0.4691,0.1514,68.5,64.84,-0.0367,60.4,52.12,-0.0828,50.27,63.04,0.1277,54.32,56.65,0.0233,0.12068225403197656,0.014917415374517766,8.09,234.3,230.77,1.0,0.0
freetime,['higher'],FairSmote,0.1057,0.1208,0.0151,0.117,0.1307,0.0137,1.7744,1.4099,-0.3645,0.0124,0.0828,0.0704,0.177,0.3422,0.1652,0.289,0.4412,0.1522,68.51,64.36,-0.0415,62.01,50.99,-0.1102,47.24,57.91,0.1067,52.77,54.05,0.0128,0.10272017448727921,0.021120360304066044,4.86,224.81,228.28,0.8336348830246822,-0.06
goout,None,FairSmote,0.1631,0.092,-0.0711,0.1812,0.1054,-0.0758,2.0962,1.2537,-0.8425,0.0296,0.0657,0.0361,0.198,0.3682,0.1702,0.313,0.4719,0.1589,68.41,63.98,-0.0443,60.66,50.55,-0.1011,50.02,61.5,0.1148,54.03,55.28,0.0125,0.1099515446958791,0.01225101333251275,8.97,229.1,230.3,0.9163591402734885,0.03
goout,['Medu'],FairSmote,0.1673,0.0497,-0.1176,0.1825,0.0795,-0.103,2.2253,1.1352,-1.0901,0.0416,0.0322,-0.0094,0.2092,0.3708,0.1616,0.3027,0.4621,0.1594,65.63,62.44,-0.0319,56.94,48.54,-0.084,45.42,57.66,0.1224,49.66,52.35,0.0269,0.09148521922904176,0.0040409490088194975,22.64,219.16,214.62,0.8336348830246822,0.06
goout,['Pstatus'],FairSmote,0.1484,0.0537,-0.0947,0.1784,0.0951,-0.0833,1.9988,1.1381,-0.8607,0.0089,0.0392,0.0303,0.1937,0.3745,0.1808,0.3102,0.468,0.1578,68.7,63.02,-0.0567,61.17,49.76,-0.1141,49.95,60.23,0.1028,54.26,54.13,-0.0013,0.10224057701787251,0.0052905624378054555,19.33,225.25,231.5,0.6744240722352938,0.12
goout,['age'],FairSmote,0.1596,0.056,-0.1036,0.1881,0.084,-0.1041,2.0777,1.1378,-0.9399,0.0163,0.06,0.0436,0.2025,0.367,0.1645,0.3177,0.4816,0.1639,68.5,64.74,-0.0376,60.4,52.15,-0.0825,50.27,64.95,0.1468,54.32,57.47,0.0315,0.12603105840624518,0.007436518958592,16.95,237.33,230.77,0.9163591402734885,0.03
goout,['higher'],FairSmote,0.1231,0.0987,-0.0244,0.1661,0.1185,-0.0476,2.0877,1.2587,-0.829,-0.0022,0.0348,0.037,0.177,0.3461,0.1691,0.289,0.4432,0.1542,68.51,64.18,-0.0433,62.01,50.57,-0.1144,47.24,58.09,0.1085,52.77,53.8,0.0103,0.10142860551109048,0.0067221728076903116,15.09,224.61,227.97,0.8336348830246822,0.06
guardian,None,FairSmote,0.1606,0.2922,0.1316,0.2034,0.3401,0.1367,1.8066,1.7266,-0.08,-0.0758,-0.0817,-0.0059,0.198,0.3821,0.1841,0.313,0.4577,0.1447,68.41,59.87,-0.0854,60.66,47.4,-0.1326,50.02,55.66,0.0564,54.03,50.22,-0.0381,0.07931962866307252,0.02661336739598666,2.98,210.08,230.45,0.8336348830246822,0.06
guardian,['Medu'],FairSmote,0.1872,0.3007,0.1135,0.2175,0.2823,0.0648,1.211,0.8718,-0.3392,-0.0389,-0.0318,0.0071,0.2092,0.4232,0.214,0.3027,0.4759,0.1732,65.63,56.51,-0.0912,56.94,44.9,-0.1204,45.42,54.73,0.0931,49.66,48.35,-0.0131,0.06714524312866667,0.009979490704478068,6.73,202.49,215.67,0.9163591402734885,0.03
guardian,['Pstatus'],FairSmote,0.1555,0.2741,0.1186,0.2347,0.2594,0.0247,1.6883,1.5017,-0.1866,-0.1293,-0.0235,0.1059,0.1937,0.3791,0.1854,0.3102,0.4489,0.1387,68.7,60.16,-0.0854,61.17,47.65,-0.1352,49.95,54.52,0.0457,54.26,49.98,-0.0428,0.07811205647118463,0.012435436666334074,6.28,209.8,231.29,0.9163591402734885,0.03
guardian,['age'],FairSmote,0.1666,0.2795,0.1129,0.2012,0.3461,0.1449,1.6203,2.481,0.8607,-0.0638,-0.1053,-0.0415,0.2025,0.385,0.1825,0.3177,0.4645,0.1468,68.5,60.15,-0.0836,60.4,47.62,-0.1278,50.27,56.96,0.0669,54.32,51.01,-0.0331,0.08321951893933482,0.04238934132295009,1.96,211.82,231.05,0.9163591402734885,0.03
guardian,['higher'],FairSmote,0.1437,0.2863,0.1426,0.2657,0.3144,0.0487,0.7949,2.0362,1.2413,-0.173,-0.0851,0.088,0.177,0.392,0.215,0.289,0.4567,0.1677,68.51,58.62,-0.0989,62.01,46.16,-0.1585,47.24,53.68,0.0644,52.77,48.68,-0.0409,0.07071005971538989,0.030184456589838888,2.34,203.77,228.46,1.0,0.0
health,None,FairSmote,-0.1626,-0.0588,0.1038,0.1904,0.1134,-0.077,0.5456,0.8932,0.3476,0.0134,-0.0075,-0.021,0.198,0.3604,0.1624,0.313,0.4739,0.1609,68.41,64.74,-0.0367,60.66,51.39,-0.0927,50.02,62.77,0.1275,54.03,56.23,0.022,0.11742118536514057,0.0022487124677600004,52.22,233.53,231.52,0.6744240722352938,-0.12
health,['Medu'],FairSmote,-0.1945,-0.0447,0.1498,0.2427,0.1025,-0.1402,0.4595,0.9287,0.4692,0.0346,-0.0209,-0.0554,0.2092,0.3872,0.178,0.3027,0.4874,0.1847,65.63,62.82,-0.0281,56.94,49.7,-0.0724,45.42,62.18,0.1676,49.66,54.99,0.0533,0.1067591149899,0.0017479783875751203,61.08,228.12,215.93,0.5286121252556877,-0.19
health,['Pstatus'],FairSmote,-0.1591,-0.0662,0.0929,0.189,0.102,-0.087,0.5451,0.9136,0.3685,0.0171,-0.025,-0.0421,0.1937,0.3514,0.1577,0.3102,0.4633,0.1531,68.7,64.83,-0.0386,61.17,51.07,-0.101,49.95,61.08,0.1113,54.26,55.45,0.0119,0.11214109376630002,0.002115812832380641,53.0,230.83,232.5,0.7527138062630524,-0.09
health,['age'],FairSmote,-0.1722,-0.0465,0.1257,0.1935,0.1015,-0.092,0.5515,0.8924,0.3409,0.0072,-0.0005,-0.0077,0.2025,0.3479,0.1454,0.3177,0.4632,0.1455,68.5,65.03,-0.0347,60.4,52.17,-0.0823,50.27,62.59,0.1232,54.32,56.56,0.0224,0.12010373863694461,0.0018603962288064003,64.56,234.82,231.85,0.6744240722352938,-0.12
health,['higher'],FairSmote,-0.1361,-0.042,0.0941,0.1534,0.0785,-0.0749,0.5948,0.9435,0.3487,-0.0027,-0.0141,-0.0114,0.177,0.3266,0.1496,0.289,0.4317,0.1427,68.51,64.75,-0.0376,62.01,51.89,-0.1012,47.24,57.55,0.1031,52.77,54.18,0.0141,0.10475555453223463,0.0014350961392267502,73.0,226.86,229.06,0.9163591402734885,-0.03
higher,None,FairSmote,0.2296,0.3052,0.0756,0.3404,0.3525,0.0121,0.0,1.4761,1.4761,-0.1373,-0.1114,0.0259,0.198,0.3967,0.1987,0.313,0.4507,0.1377,68.41,59.2,-0.0921,60.66,45.13,-0.1553,50.02,52.42,0.024,54.03,48.26,-0.0577,0.0675878586619507,0.02990228628359412,2.26,202.03,231.8,0.7527138062630524,-0.09
higher,['Medu'],FairSmote,0.2425,0.3177,0.0752,0.3299,0.346,0.0161,0.0,1.1057,1.1057,-0.1079,-0.0922,0.0157,0.2092,0.4004,0.1912,0.3027,0.4394,0.1367,65.63,57.86,-0.0777,56.94,44.33,-0.1261,45.42,49.78,0.0436,49.66,46.63,-0.0303,0.0595419614244688,0.021113872085006466,2.82,196.06,216.44,0.5286121252556877,-0.19
higher,['Pstatus'],FairSmote,0.225,0.2807,0.0557,0.3375,0.3277,-0.0098,0.0,0.7225,0.7225,-0.1393,-0.1198,0.0195,0.1937,0.391,0.1973,0.3102,0.4431,0.1329,68.7,59.2,-0.095,61.17,45.33,-0.1584,49.95,51.62,0.0167,54.26,48.0,-0.0626,0.06649219871920876,0.015776768832107085,4.21,201.95,232.76,0.8336348830246822,-0.06
higher,['age'],FairSmote,0.2357,0.2835,0.0478,0.346,0.3345,-0.0115,0.0,1.4054,1.4054,-0.1357,-0.126,0.0097,0.2025,0.3857,0.1832,0.3177,0.4414,0.1237,68.5,59.98,-0.0853,60.4,46.8,-0.136,50.27,53.05,0.0278,54.32,49.54,-0.0478,0.07376655292328572,0.028506828902203313,2.59,206.45,232.17,0.8336348830246822,-0.06
