Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
age,50%,"Hellinger
 distance(+)",1.1522677594727235,0,5.206881690064456,6.359149449537179,2.11971648317906
age,50%,"Wasserstein
 distance(+)",0.0065062312952043995,0,5.206881690064456,0.0065062312952043995,0.016015584445909014
age,50%,"Total variation
 distance(+)",0.1764122696066484,0,0.9257135213489422,0.1764122696066484,0.3673752636518635
age,50%,"Jensen–Shannon
 divergence(+)",0.09339995244685902,0,0.41828762181656853,0.09339995244685902,0.17056252475447586
age,70%,"Hellinger
 distance(+)",1.381487788851664,0,6.105646842704537,7.487134631556201,2.495711543852067
age,70%,"Wasserstein
 distance(+)",0.00946587072525245,0,6.105646842704537,0.00946587072525245,0.022739428896693493
age,70%,"Total variation
 distance(+)",0.24704800103757796,0,1.2377032600769045,0.24704800103757796,0.4949170870381608
age,70%,"Jensen–Shannon
 divergence(+)",0.11197935713678157,0,0.4889117610244539,0.11197935713678157,0.20029703938707846
race,10%,"Hellinger
 distance(+)",0.2955805351553871,0,0.2955805351553871,0.5911610703107743,0.19705369010359142
race,10%,"Wasserstein
 distance(+)",0.00115330951891027,0,0.2955805351553871,0.00115330951891027,0.0007688730126068467
race,10%,"Total variation
 distance(+)",0.01622118703486513,0,0.01622118703486513,0.01622118703486513,0.010814124689910087
race,10%,"Jensen–Shannon
 divergence(+)",0.023902276052306548,0,0.023902276052306548,0.023902276052306548,0.0159348507015377
race,30%,"Hellinger
 distance(+)",0.5239553431245028,0,0.5239553431245028,1.0479106862490055,0.34930356208300184
race,30%,"Wasserstein
 distance(+)",0.00267634027115549,0,0.5239553431245028,0.00267634027115549,0.0017842268474369935
race,30%,"Total variation
 distance(+)",0.04514434138414936,0,0.04514434138414936,0.04514434138414936,0.03009622758943291
race,30%,"Jensen–Shannon
 divergence(+)",0.04237628744110085,0,0.04237628744110085,0.04237628744110085,0.028250858294067233
race,50%,"Hellinger
 distance(+)",0.6587594696472657,0,0.6587594696472657,1.3175189392945315,0.4391729797648438
race,50%,"Wasserstein
 distance(+)",0.00393847647068774,0,0.6587594696472657,0.00393847647068774,0.0026256509804584937
race,50%,"Total variation
 distance(+)",0.06878589402155902,0,0.06878589402155902,0.06878589402155902,0.045857262681039346
race,50%,"Jensen–Shannon
 divergence(+)",0.05325852103728035,0,0.05325852103728035,0.05325852103728035,0.035505680691520235
race,70%,"Hellinger
 distance(+)",0.7786037453844836,0,0.7786037453844836,1.5572074907689673,0.5190691635896557
race,70%,"Wasserstein
 distance(+)",0.00565723844596342,0,0.7786037453844836,0.00565723844596342,0.0037714922973089465
race,70%,"Total variation
 distance(+)",0.09518257308264147,0,0.09518257308264147,0.09518257308264147,0.06345504872176098
race,70%,"Jensen–Shannon
 divergence(+)",0.06286259429844779,0,0.06286259429844779,0.06286259429844779,0.04190839619896519
priors_count,10%,"Hellinger
 distance(+)",0.3815056087355091,0,1.1773076676628316,1.5588132763983407,0.5196044254661135
priors_count,10%,"Wasserstein
 distance(+)",0.0010444526840404501,0,1.1773076676628316,0.0010444526840404501,0.0022920746389233832
priors_count,10%,"Total variation
 distance(+)",0.02221901697742569,0,0.08481748808986002,0.02221901697742569,0.03567883502242857
priors_count,10%,"Jensen–Shannon
 divergence(+)",0.03090667186093634,0,0.09513675467666924,0.03090667186093634,0.0420144755125352
priors_count,30%,"Hellinger
 distance(+)",0.6651554773117574,0,2.079609876686061,2.7447653539978187,0.9149217846659395
priors_count,30%,"Wasserstein
 distance(+)",0.0033508606421258705,0,2.079609876686061,0.0033508606421258705,0.007289266752901907
priors_count,30%,"Total variation
 distance(+)",0.06662766254548072,0,0.25117399050965955,0.06662766254548072,0.10593388435171343
