"Swap 
 Percentage",Measurement,Feature,race,c_charge_degree,sex,priors_count,age,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",priors_count,0.0/0.5002,0.0/0.2956,0.0/0.3815,-,-,,0.3815056087355091,0.3815056087355091,0.9701594425669249,1.1773076676628316,[],"[0.5002215237719353, 0.2955805351553871, 0.3815056087355091]","[0.5002215237719353, 0.2955805351553871, 0.3815056087355091]"
10%,"Wasserstein
 distance",priors_count,0.0/0.0036,0.0/0.0012,0.0/0.001,-,-,,0.0010444526840404501,0.0010444526840404501,0.0039603383004053,0.0058317712327297,[],"[0.0036340090297789797, 0.00115330951891027, 0.0010444526840404501]","[0.0036340090297789797, 0.00115330951891027, 0.0010444526840404501]"
10%,"Total variation
 distance",priors_count,0.0/0.0464,0.0/0.0162,0.0/0.0222,-,-,,0.02221901697742569,0.02221901697742569,0.0646277610223557,0.16963497617972004,[],"[0.0463772840775692, 0.01622118703486513, 0.02221901697742569]","[0.0927545681551384, 0.03244237406973026, 0.04443803395485138]"
10%,"Jensen-Shannon
 divergence",priors_count,0.0/0.0403,0.0/0.0239,0.0/0.0309,-,-,,0.03090667186093634,0.03090667186093634,0.07847504919927095,0.09513675467666924,[],"[0.04032780676342635, 0.023902276052306548, 0.03090667186093634]","[0.04032780676342635, 0.023902276052306548, 0.03090667186093634]"
30%,"Hellinger
 distance",priors_count,0.0/0.8905,0.0/0.524,0.0/0.6652,-,-,,0.6651554773117574,0.6651554773117574,1.704960415654788,2.079609876686061,[],"[0.8904990562498011, 0.5239553431245028, 0.6651554773117574]","[0.8904990562498011, 0.5239553431245028, 0.6651554773117574]"
30%,"Wasserstein
 distance",priors_count,0.0/0.0125,0.0/0.0027,0.0/0.0034,-,-,,0.0033508606421258705,0.0033508606421258705,0.012609330450415795,0.01851693961657985,[],"[0.012489738703298489, 0.00267634027115549, 0.0033508606421258705]","[0.012489738703298489, 0.00267634027115549, 0.0033508606421258705]"
30%,"Total variation
 distance",priors_count,0.0/0.1394,0.0/0.0451,0.0/0.0666,-,-,,0.06662766254548072,0.06662766254548072,0.1922146578003105,0.5023479810193191,[],"[0.13940198658002947, 0.04514434138414936, 0.06662766254548072]","[0.27880397316005895, 0.09028868276829873, 0.13325532509096144]"
30%,"Jensen-Shannon
 divergence",priors_count,0.0/0.0707,0.0/0.0424,0.0/0.0538,-,-,,0.053823263495056596,0.053823263495056596,0.1372948498651322,0.16694317274015125,[],"[0.07074362180399381, 0.04237628744110085, 0.053823263495056596]","[0.07074362180399381, 0.04237628744110085, 0.053823263495056596]"
50%,"Hellinger
 distance",priors_count,0.0/1.1351,0.0/0.6588,0.0/0.8668,-,-,,0.866843075646251,0.866843075646251,2.197197306549513,2.6607084618065238,[],"[1.135105916513007, 0.6587594696472657, 0.866843075646251]","[1.135105916513007, 0.6587594696472657, 0.866843075646251]"
50%,"Wasserstein
 distance",priors_count,0.0/0.019,0.0/0.0039,0.0/0.0044,-,-,,0.00441720531013187,0.00441720531013187,0.01808203997643855,0.02732966933261336,[],"[0.01897398755179375, 0.00393847647068774, 0.00441720531013187]","[0.01897398755179375, 0.00393847647068774, 0.00441720531013187]"
50%,"Total variation
 distance",priors_count,0.0/0.2077,0.0/0.0688,0.0/0.1056,-,-,,0.10561366596490022,0.10561366596490022,0.2966721270343981,0.7642338442779916,[],"[0.2077173621525365, 0.06878589402155902, 0.10561366596490022]","[0.415434724305073, 0.13757178804311804, 0.21122733192980045]"
50%,"Jensen-Shannon
 divergence",priors_count,0.0/0.0894,0.0/0.0533,0.0/0.0702,-,-,,0.07019748004787166,0.07019748004787166,0.17664496273788305,0.21289496538002278,[],"[0.08943896429487078, 0.05325852103728035, 0.07019748004787166]","[0.08943896429487078, 0.05325852103728035, 0.07019748004787166]"
70%,"Hellinger
 distance",priors_count,0.0/1.3516,0.0/0.7786,0.0/1.0235,-,-,,1.0235270906242637,1.0235270906242637,2.6003945487082643,3.1537349161680006,[],"[1.351604080159253, 0.7786037453844836, 1.0235270906242637]","[1.351604080159253, 0.7786037453844836, 1.0235270906242637]"
70%,"Wasserstein
 distance",priors_count,0.0/0.0263,0.0/0.0057,0.0/0.0066,-,-,,0.0065930152206213994,0.0065930152206213994,0.025871590830315434,0.03855715121938807,[],"[0.02630689755280325, 0.00565723844596342, 0.0065930152206213994]","[0.02630689755280325, 0.00565723844596342, 0.0065930152206213994]"
70%,"Total variation
 distance",priors_count,0.0/0.2743,0.0/0.0952,0.0/0.1463,-,-,,0.14626312796793012,0.14626312796793012,0.40412516545349925,1.0314481499422765,[],"[0.2742783739205666, 0.09518257308264147, 0.14626312796793012]","[0.5485567478411332, 0.19036514616528294, 0.29252625593586024]"
70%,"Jensen-Shannon
 divergence",priors_count,0.0/0.1053,0.0/0.0629,0.0/0.0828,-,-,,0.0828283285846639,0.0828283285846639,0.20833654817215475,0.25101643917498173,[],"[0.10532551629187006, 0.06286259429844779, 0.0828283285846639]","[0.10532551629187006, 0.06286259429844779, 0.0828283285846639]"
10%,"Hellinger
 distance",c_charge_degree,0.0/0.5002,-,0.0/0.492,-,-,,0.49197963964623553,0.49197963964623553,0.988080221355321,0.9922011634181709,[],"[0.5002215237719353, 0.49197963964623553]","[0.5002215237719353, 0.49197963964623553]"
10%,"Wasserstein
 distance",c_charge_degree,0.0/0.0036,-,0.0/0.0018,-,-,,0.0018497520280940701,0.0018497520280940701,0.004591632557030595,0.00548376105787305,[],"[0.0036340090297789797, 0.0018497520280940701]","[0.0036340090297789797, 0.0018497520280940701]"
10%,"Total variation
 distance",c_charge_degree,0.0/0.0464,-,0.0/0.0371,-,-,,0.03706211753516815,0.03706211753516815,0.07878181834153683,0.16687880322547471,[],"[0.0463772840775692, 0.03706211753516815]","[0.0927545681551384, 0.0741242350703363]"
10%,"Jensen-Shannon
 divergence",c_charge_degree,0.0/0.0403,-,0.0/0.0398,-,-,,0.03983814369662815,0.03983814369662815,0.0799211189266554,0.08016595046005451,[],"[0.04032780676342635, 0.03983814369662815]","[0.04032780676342635, 0.03983814369662815]"
30%,"Hellinger
 distance",c_charge_degree,0.0/0.8905,-,0.0/0.875,-,-,,0.8750199614194129,0.8750199614194129,1.75777947025402,1.765519017669214,[],"[0.8904990562498011, 0.8750199614194129]","[0.8904990562498011, 0.8750199614194129]"
30%,"Wasserstein
 distance",c_charge_degree,0.0/0.0125,-,0.0/0.0065,-,-,,0.00648430915699102,0.00648430915699102,0.015971333087135775,0.018974047860289507,[],"[0.012489738703298489, 0.00648430915699102]","[0.012489738703298489, 0.00648430915699102]"
30%,"Total variation
 distance",c_charge_degree,0.0/0.1394,-,0.0/0.1148,-,-,,0.11483129213953289,0.11483129213953289,0.24194793149931407,0.5084665574391247,[],"[0.13940198658002947, 0.11483129213953289]","[0.27880397316005895, 0.22966258427906577]"
30%,"Jensen-Shannon
 divergence",c_charge_degree,0.0/0.0707,-,0.0/0.0707,-,-,,0.07069897520256871,0.07069897520256871,0.14142027370584997,0.14144259700656253,[],"[0.07074362180399381, 0.07069897520256871]","[0.07074362180399381, 0.07069897520256871]"
50%,"Hellinger
 distance",c_charge_degree,0.0/1.1351,-,0.0/1.11,-,-,,1.1100145850920462,1.1100145850920462,2.2325748358945727,2.2451205016050535,[],"[1.135105916513007, 1.1100145850920462]","[1.135105916513007, 1.1100145850920462]"
50%,"Wasserstein
 distance",c_charge_degree,0.0/0.019,-,0.0/0.0093,-,-,,0.00929142840122974,0.00929142840122974,0.023424136377741482,0.02826541595302349,[],"[0.01897398755179375, 0.00929142840122974]","[0.01897398755179375, 0.00929142840122974]"
50%,"Total variation
 distance",c_charge_degree,0.0/0.2077,-,0.0/0.1745,-,-,,0.17445814554500244,0.17445814554500244,0.3655458993937719,0.7643510153950779,[],"[0.2077173621525365, 0.17445814554500244]","[0.415434724305073, 0.3489162910900049]"
50%,"Jensen-Shannon
 divergence",c_charge_degree,0.0/0.0894,-,0.0/0.0897,-,-,,0.08968232698194772,0.08968232698194772,0.179242972620357,0.1791212912768185,[],"[0.08943896429487078, 0.08968232698194772]","[0.08943896429487078, 0.08968232698194772]"
70%,"Hellinger
 distance",c_charge_degree,0.0/1.3516,-,0.0/1.3156,-,-,,1.3155867022462595,1.3155867022462595,2.649182093449016,2.6671907824055126,[],"[1.351604080159253, 1.3155867022462595]","[1.351604080159253, 1.3155867022462595]"
70%,"Wasserstein
 distance",c_charge_degree,0.0/0.0263,-,0.0/0.013,-,-,,0.01296855800548627,0.01296855800548627,0.032606285784631026,0.03927545555828952,[],"[0.02630689755280325, 0.01296855800548627]","[0.02630689755280325, 0.01296855800548627]"
70%,"Total variation
 distance",c_charge_degree,0.0/0.2743,-,0.0/0.2367,-,-,,0.23669804498669195,0.23669804498669195,0.4921862544403212,1.021952837814517,[],"[0.2742783739205666, 0.23669804498669195]","[0.5485567478411332, 0.4733960899733839]"
70%,"Jensen-Shannon
 divergence",c_charge_degree,0.0/0.1053,-,0.0/0.1062,-,-,,0.10620838730927791,0.10620838730927791,0.2119753391098519,0.211533903601148,[],"[0.10532551629187006, 0.10620838730927791]","[0.10532551629187006, 0.10620838730927791]"
