"Swap 
 Percentage",Measurement,Feature,oldpeak,chol,ca,age,fbs,sex,cp,thal,restecg,thalach,exang,trestbps,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Total variation
 distance",age,0.0638/0.0787,0.0444/0.2201,0.0556/0.1068,-,0.0144/0.0083,0.0335/0.0494,0.0477/0.1413,0.0849/0.5091,-,0.0646/0.3305,0.0757/0.1141,0.045/0.3384,,0.04935897435897431,0.04935897435897431,0.9976933598139345,4.322939940326196,[],"[0.07869795838836084, 0.22012931512931505, 0.10682768384006772, 0.00833333333333333, 0.04935897435897431, 0.14129212290976995, 0.5090606604960825, 0.330526418026418, 0.11406246531246529, 0.33837983911513325]","[0.22119933558014043, 0.48461760461760445, 0.26925782078258853, 0.031020733652312588, 0.1322496947496946, 0.3302498155439331, 1.103035460561036, 0.7256773781773781, 0.3038691863691863, 0.7217629102923221]"
50%,"Jensen-Shannon
 divergence",age,0.0265/0.0318,0.0183/0.0593,0.0347/0.0369,-,0.0075/0.0037,0.0166/0.0222,0.02/0.0429,0.0418/0.0953,-,0.0309/0.0765,0.0366/0.0401,0.0225/0.0744,,0.02223904152504857,0.02223904152504857,0.26374003906480226,0.7383818753187671,[],"[0.03179121968228318, 0.059325890565330996, 0.03686217556585293, 0.00365551666112246, 0.02223904152504857, 0.04286466169751579, 0.09526989509771426, 0.07646223697978244, 0.040121794808932465, 0.0744095624959243]","[0.058279924005743264, 0.07766888452095293, 0.07151754946438404, 0.01114736170524458, 0.03880561011966459, 0.06287008315164593, 0.13708558027369494, 0.10739279216635356, 0.07673359054662729, 0.09688049936445595]"
70%,"Hellinger
 distance",age,0.1229/0.121,0.0576/0.186,0.1229/0.1519,-,0.0593/0.0171,0.0706/0.0634,0.1012/0.1607,0.1453/0.3225,-,0.0985/0.1847,0.1369/0.1607,0.0716/0.2202,,0.06336756748316658,0.06336756748316658,0.8574888968074532,2.57490230290765,[],"[0.12104648211157716, 0.18599824499901413, 0.15191994898984815, 0.01711134893866663, 0.06336756748316658, 0.16074242195795815, 0.32245163197492877, 0.18469761812651095, 0.16074242195795815, 0.22016497210894484]","[0.24393232838583523, 0.2435786865537897, 0.2748057952641062, 0.07638680043428743, 0.13396724198906299, 0.2619319471640267, 0.46774309697426736, 0.2832400084393725, 0.2975996261356988, 0.291716771567203]"
70%,"Wasserstein
 distance",age,0.0064/0.0074,0.0027/0.018,0.0064/0.0128,-,0.0032/0.0016,0.0037/0.0037,0.0032/0.0133,0.0079/0.0539,-,0.0058/0.0132,0.0042/0.0132,0.0037/0.0217,,0.0037167977599714295,0.0037167977599714295,0.08308666837217712,0.20588533611181603,[],"[0.007397510104797519, 0.018024664865104224, 0.01277423696145524, 0.00156971555882289, 0.0037167977599714295, 0.013279432773490191, 0.053875524812013284, 0.013243347358344839, 0.01315313382048145, 0.021705377209930314]","[0.01376658587795245, 0.020694985585860394, 0.01914331273461018, 0.00474523209161401, 0.00739751010479751, 0.01649103472142667, 0.06181431614399112, 0.01905309919674679, 0.01735708468491516, 0.025422174969901744]"
70%,"Total variation
 distance",age,0.1172/0.1292,0.0527/0.2832,0.085/0.1904,-,0.0489/0.015,0.0591/0.0577,0.0949/0.2231,0.1284/0.5656,-,0.0759/0.2615,0.1032/0.1768,0.0693/0.3881,,0.05769230769230763,0.05769230769230763,1.202961576933932,5.415592527247358,[],"[0.12916800304958195, 0.2831536763889705, 0.19044822394667596, 0.01499999999999999, 0.05769230769230763, 0.22314228255404728, 0.5655954857499479, 0.2614520202020202, 0.17680378831694615, 0.38808275058275055]","[0.37548884294240314, 0.6189996604702486, 0.46587864977486726, 0.07893740031897921, 0.17446135563782605, 0.5412088075323369, 1.2595517773607017, 0.5987590187590187, 0.456809276894416, 0.845497737556561]"
70%,"Jensen-Shannon
 divergence",age,0.0461/0.045,0.0214/0.0661,0.048/0.0552,-,0.0223/0.0065,0.0265/0.0237,0.0381/0.058,0.0547/0.1029,-,0.0376/0.0672,0.0522/0.059,0.0266/0.0777,,0.02367664453170974,0.02367664453170974,0.3043553540038225,0.9346974061839246,[],"[0.04498099050529079, 0.06614751066911408, 0.0552481653081671, 0.00645144364050332, 0.02367664453170974, 0.058042568402305525, 0.10287060849895846, 0.06718333768022296, 0.059032057370289305, 0.07772409233766422]","[0.0911180685718164, 0.0875434037278949, 0.10327157030865503, 0.02871282906708253, 0.05013793671724426, 0.0960986405430915, 0.157525879573115, 0.10482164065344607, 0.11119116143119975, 0.10427627559037908]"
10%,"Hellinger
 distance",sex,0.0099/0.0494,0.0198/0.0945,0.0634/0.0692,-,0.0/0.0,-,0.0099/0.1233,-,-,-,-,0.0099/0.1233,,0.019758483831873598,0.019758483831873598,0.24960418757479497,0.5724551845486934,[],"[0.049396209579684, 0.0944502743253158, 0.0691546934115576, 0.0, 0.1233451150846427, 0.12334511508464267]","[0.0592754514956208, 0.1142087581571894, 0.1325222608947242, 0.0, 0.1332243570005795, 0.13322435700057947]"
10%,"Wasserstein
 distance",sex,0.0005/0.0026,0.0011/0.0064,0.0037/0.0037,-,0.0/0.0,-,0.0005/0.0085,-,-,-,-,0.0005/0.0085,,0.00106451974678793,0.00106451974678793,0.015877582663955635,0.03597715889991765,[],"[0.00263423530561082, 0.006351033065582259, 0.00369875505239875, 0.0, 0.00848007255915813, 0.008462029851585449]","[0.00315747382521845, 0.007415552812370189, 0.00741555281237017, 0.0, 0.00900331107876576, 0.008985268371193079]"
10%,"Total variation
 distance",sex,0.0059/0.036,0.0136/0.0878,0.0513/0.0527,-,0.0/0.0,-,0.01/0.1171,-,-,-,-,0.0059/0.1136,,0.013574660633484151,0.013574660633484151,0.2171734148204735,0.9010446416328763,[],"[0.03602887308769658, 0.08780885780885776, 0.05267399267399262, 0.0, 0.1170678341266576, 0.11361795067677416]","[0.07794009911656963, 0.18919237625119967, 0.1566582437170671, 0.0, 0.24413566825331517, 0.23311825429472477]"
10%,"Jensen-Shannon
 divergence",sex,0.0038/0.0188,0.0076/0.0352,0.0239/0.0261,-,0.0/0.0,-,0.0036/0.0461,-,-,-,-,0.0038/0.0462,,0.00755677300899151,0.00755677300899151,0.09376857115979645,0.21508593553094568,[],"[0.01877153761132132, 0.035229894370110745, 0.026123870142135058, 0.0, 0.04611406334510374, 0.04618423083293902]","[0.022571938545359462, 0.04278666737910226, 0.05002660817311792, 0.0, 0.049716089666388893, 0.049984631766977164]"
30%,"Hellinger
 distance",sex,0.0959/0.1188,0.0441/0.0872,0.1241/0.148,-,0.0576/0.0099,-,0.0675/0.1891,-,-,-,-,0.0648/0.1915,,0.05493330666156859,0.05493330666156859,0.4271724014833372,1.1984160585325812,[],"[0.11879373028671225, 0.08721816730258596, 0.1479721395778064, 0.009879241915936799, 0.18907844255772804, 0.19153646800276766]","[0.21468898570636685, 0.131320107095856, 0.27206013965093256, 0.06745968347071236, 0.2565381260284404, 0.25634901658027304]"
30%,"Wasserstein
 distance",sex,0.0032/0.009,0.0016/0.0053,0.0047/0.0132,-,0.0026/0.0005,-,0.0043/0.02,-,-,-,-,0.0037/0.0185,,0.00106451974678793,0.00106451974678793,0.03435331521837679,0.08665912447156705,[],"[0.00898526837119309, 0.00528651331879431, 0.01320726194319948, 0.00052323851960763, 0.020045448113244033, 0.01852986067713918]","[0.01214274219641154, 0.00687427158518987, 0.017952494034813492, 0.00315747382521845, 0.024303527100395763, 0.02222861572953794]"
30%,"Total variation
 distance",sex,0.0773/0.12,0.0368/0.0747,0.0838/0.1655,-,0.0494/0.005,-,0.0644/0.2296,-,-,-,-,0.0589/0.2251,,0.03350140056022408,0.03350140056022408,0.4434324232605461,2.010394531042161,[],"[0.1199869982958218, 0.07474682180564526, 0.165464070243482, 0.00499999999999999, 0.22955774186104644, 0.22510641319464847]","[0.3172849209613915, 0.18632837750484793, 0.4147685235301334, 0.05943181818181815, 0.5234990168556259, 0.5090818740083445]"
30%,"Jensen-Shannon
 divergence",sex,0.0366/0.0441,0.0168/0.0327,0.0479/0.0544,-,0.0216/0.0039,-,0.0251/0.0684,-,-,-,-,0.0244/0.0701,,0.021336556213883983,0.021336556213883983,0.15810218392491993,0.4459702618058059,[],"[0.044084150706838146, 0.03269589321313163, 0.05438740464724738, 0.00389604756942664, 0.06836432700519757, 0.07010343228023057]","[0.08064482135017619, 0.04952619664780797, 0.10233187088968118, 0.025460619599571948, 0.09351349940535054, 0.09449325391321813]"
50%,"Hellinger
 distance",sex,0.0931/0.1282,0.0764/0.2259,0.1834/0.181,-,0.0928/0.027,-,0.1209/0.2385,-,-,-,-,0.09/0.2036,,0.0760718381994068,0.0760718381994068,0.5781565764837527,1.6608035040869016,[],"[0.12818011606067198, 0.22588211964900057, 0.18099376193180883, 0.02699059085460343, 0.23847460449108043, 0.20364828358152684]","[0.22128388236528396, 0.302268920083288, 0.36439075318581665, 0.119745855239074, 0.3594226135290226, 0.2936914796844162]"
50%,"Wasserstein
 distance",sex,0.0032/0.0095,0.0037/0.0286,0.0106/0.0185,-,0.0047/0.0021,-,0.0085/0.0316,-,-,-,-,0.0058/0.0195,,0.00368071234482608,0.00368071234482608,0.05855760742712286,0.14625418758411887,[],"[0.009526549598373391, 0.028561606087547525, 0.01845768984684846, 0.00209295407843052, 0.03161082366732994, 0.019504166886063722]","[0.012720108838737192, 0.03226036113994628, 0.02904875919200979, 0.00682014346247186, 0.04010893893406075, 0.025295876016892992]"
50%,"Total variation
 distance",sex,0.0842/0.1252,0.0682/0.3093,0.164/0.2161,-,0.0868/0.0233,-,0.1254/0.323,-,-,-,-,0.0882/0.2458,,0.06683473389355739,0.06683473389355739,0.6881865000754319,3.102169089812985,[],"[0.12517680848563195, 0.3092673472897931, 0.2160995390058857, 0.023333333333333324, 0.3230076662243845, 0.24581883802472038]","[0.3345599661776131, 0.6867279718905106, 0.5961733679565822, 0.1334595959595959, 0.7714006823929425, 0.5798475054357407]"
50%,"Jensen-Shannon
 divergence",sex,0.0353/0.0476,0.0289/0.0794,0.0703/0.0657,-,0.0347/0.0101,-,0.0446/0.0829,-,-,-,-,0.0338/0.0741,,0.028949997351666052,0.028949997351666052,0.20879005417803367,0.6073781764603872,[],"[0.047603161765885055, 0.0793616575204347, 0.06565746495894742, 0.01010696030162578, 0.08285830702623352, 0.07409256207960874]","[0.08293793050335226, 0.10826749303024805, 0.13595064581371755, 0.04479373633432372, 0.12749853406892525, 0.10792983670982029]"
70%,"Hellinger
 distance",sex,0.1435/0.1807,0.106/0.2191,0.1903/0.2112,-,0.1125/0.027,-,0.1565/0.2613,-,-,-,-,0.1169/0.248,,0.12232805674390676,0.12232805674390676,0.6959868136605194,1.9730968780742089,[],"[0.18074985636080082, 0.2191126020633647, 0.21117172845303825, 0.02699059085460343, 0.26131818686627284, 0.24797454923514523]","[0.32428137803091994, 0.32513712824546254, 0.40148586449489526, 0.13950433907094759, 0.4178241862611812, 0.3648639819708024]"
70%,"Wasserstein
 distance",sex,0.0058/0.0175,0.0042/0.0265,0.0084/0.0258,-,0.0058/0.0021,-,0.0096/0.0375,-,-,-,-,0.0053/0.0307,,0.00474523209161401,0.00474523209161401,0.07476898018117308,0.17914604348910892,[],"[0.017465340930351243, 0.02645060930154434, 0.025819114536500643, 0.00209295407843052, 0.0375107890435953, 0.03070868828869609]","[0.023275092768753194, 0.03067260287355072, 0.0342089735577954, 0.00786662050168712, 0.04710950947225939, 0.03601324431506308]"
70%,"Total variation
 distance",sex,0.1357/0.2263,0.0907/0.291,0.1437/0.2599,-,0.1175/0.0233,-,0.1851/0.3678,-,-,-,-,0.1125/0.3397,,0.10229260935143283,0.10229260935143283,0.8562973953235259,3.801325338381873,[],"[0.2262568349524871, 0.2910403403785756, 0.25991163050915367, 0.023333333333333324, 0.36778856377540586, 0.3396788689952305]","[0.5882629979762837, 0.6727779246896892, 0.6635131676029508, 0.16416666666666657, 0.9207211338712886, 0.7918834475749941]"
70%,"Jensen-Shannon
 divergence",sex,0.0542/0.0657,0.0402/0.0778,0.0743/0.0748,-,0.0418/0.0101,-,0.0576/0.0892,-,-,-,-,0.0444/0.0873,,0.04641556035772156,0.04641556035772156,0.24887072853325307,0.7172931687363764,[],"[0.06570760627660358, 0.07783527116827786, 0.07475878918906695, 0.01010696030162578, 0.08917884581720055, 0.08732286359828831]","[0.11991723360997544, 0.1179868090310226, 0.14901306857427177, 0.051910526546111266, 0.1467843749473905, 0.13168115602760477]"
10%,"Hellinger
 distance",cp,0.0296/0.0099,-,0.0831/0.0198,-,0.0198/0.0,-,-,-,-,-,-,0.0296/0.0576,,0.009879241915936799,0.009879241915936799,0.05348832556722978,0.2493781539451205,[],"[0.009879241915936799, 0.019758483831873598, 0.0, 0.05758044155477556]","[0.039516967663747196, 0.10288453514691376, 0.019758483831873598, 0.08721816730258597]"
10%,"Wasserstein
 distance",cp,0.0016/0.0005,-,0.0047/0.0011,-,0.0011/0.0,-,-,-,-,-,-,0.0016/0.0016,,0.00052323851960763,0.00052323851960763,0.00211099678600319,0.01216078490398418,[],"[0.00052323851960763, 0.00106451974678793, 0.0, 0.00158775826639556]","[0.00211099678600319, 0.00580975183840194, 0.00106451974678793, 0.00317551653279112]"
10%,"Total variation
 distance",cp,0.0236/0.005,-,0.0667/0.0136,-,0.0177/0.0,-,-,-,-,-,-,0.0233/0.0358,,0.00588235294117647,0.00588235294117647,0.033054298642533904,0.24000127323656714,[],"[0.00499999999999999, 0.013574660633484151, 0.0, 0.035769230769230734]","[0.03357466063348412, 0.09386251003898058, 0.017692307692307667, 0.09487179487179478]"
10%,"Jensen-Shannon
 divergence",cp,0.0112/0.0039,-,0.0312/0.0076,-,0.0074/0.0,-,-,-,-,-,-,0.0112/0.0222,,0.00380040093403814,0.00380040093403814,0.020615961429468407,0.09456749528986608,[],"[0.00389604756942664, 0.00755677300899151, 0.0, 0.02217830041244238]","[0.015054846899703302, 0.03875082311379435, 0.007358398396238519, 0.0334034268801299]"
30%,"Hellinger
 distance",cp,0.0846/0.0171,-,0.114/0.0675,-,0.0706/0.0692,-,-,-,-,-,-,0.0831/0.1602,,0.07733892538664916,0.07733892538664916,0.2342767955305218,0.6661312278287438,[],"[0.01711134893866663, 0.06745968347071236, 0.0691546934115576, 0.1601500144668087]","[0.10168238134804562, 0.1814184127813953, 0.139754367917454, 0.24327606578184888]"
30%,"Wasserstein
 distance",cp,0.0048/0.0005,-,0.0058/0.0042,-,0.0027/0.0037,-,-,-,-,-,-,0.0048/0.0127,,0.0036987550523987596,0.0036987550523987596,0.01426276033620107,0.03911659001756345,[],"[0.0005412812271803, 0.00422199357200639, 0.0036987550523987596, 0.012665980716019171]","[0.00532259873393967, 0.01001370270283567, 0.0063510330655822496, 0.017429255515205862]"
30%,"Total variation
 distance",cp,0.0754/0.0167,-,0.0934/0.0621,-,0.0565/0.0614,-,-,-,-,-,-,0.0761/0.1706,,0.05997326203208554,0.05997326203208554,0.21530747438835668,0.9227940746903591,[],"[0.01666666666666666, 0.062051282051282006, 0.06138351844234193, 0.17056695755225165]","[0.10874999999999994, 0.21752783164547862, 0.17928019477942067, 0.41723604826545996]"
30%,"Jensen-Shannon
 divergence",cp,0.0316/0.0065,-,0.0431/0.0251,-,0.0267/0.0261,-,-,-,-,-,-,0.0313/0.0595,,0.0291371990273614,0.0291371990273614,0.08775556462211725,0.24994060696659381,[],"[0.0065257966011288, 0.025106617010411104, 0.026066445033954, 0.05953787254401779]","[0.03812729020251035, 0.06823604518506868, 0.052745374958202626, 0.09083189662081215]"
50%,"Hellinger
 distance",cp,0.1409/0.0549,-,0.1631/0.1246,-,0.1125/0.0899,-,-,-,-,-,-,0.1002/0.2402,,0.10746950727643664,0.10746950727643664,0.36226218908802743,1.0263207166484327,[],"[0.05493330666156859, 0.12458085621510329, 0.08989884188105372, 0.2401723588654559]","[0.19581769343848082, 0.2876806739933914, 0.20241259009739787, 0.3404097591191627]"
50%,"Wasserstein
 distance",cp,0.0085/0.0021,-,0.0095/0.0068,-,0.0058/0.0074,-,-,-,-,-,-,0.0053/0.0254,,0.0063149476504369,0.0063149476504369,0.027181338958237714,0.07079958451518405,[],"[0.00211099678600319, 0.00683818617004453, 0.0074155528123701995, 0.02536804684718371]","[0.01057302663758864, 0.01632865035327256, 0.013243347358344818, 0.03065456016597803]"
50%,"Total variation
 distance",cp,0.145/0.048,-,0.1409/0.12,-,0.1123/0.107,-,-,-,-,-,-,0.1002/0.3202,,0.10389933595815944,0.10389933595815944,0.40147364438966593,1.6886489923269767,[],"[0.04797979797979797, 0.11998491704374052, 0.10696692196692195, 0.3202169798725526]","[0.24093382924265266, 0.38085055065856643, 0.3262534687534687, 0.7406111436722891]"
50%,"Jensen-Shannon
 divergence",cp,0.0526/0.0207,-,0.0626/0.0465,-,0.042/0.0328,-,-,-,-,-,-,0.0374/0.0866,,0.04001321236700285,0.04001321236700285,0.13330586439975883,0.381237180609581,[],"[0.02074002911611951, 0.04645057548997133, 0.032750605483836535, 0.08664409397558456]","[0.07331539028274064, 0.10909789903886916, 0.074797733010293, 0.12402615827767823]"
70%,"Hellinger
 distance",cp,0.1471/0.0698,-,0.1894/0.1412,-,0.1265/0.1285,-,-,-,-,-,-,0.1313/0.2519,,0.1350972608485212,0.1350972608485212,0.4308180286840799,1.185759719654026,[],"[0.06979185612903871, 0.14119934901179282, 0.12852861798081341, 0.2519217125494725]","[0.21687680414285757, 0.33062737176519963, 0.25501372410064016, 0.38324181964532855]"
70%,"Wasserstein
 distance",cp,0.0074/0.0037,-,0.0147/0.0085,-,0.0048/0.0101,-,-,-,-,-,-,0.009/0.021,,0.00633299035800958,0.00633299035800958,0.02799326079900819,0.0792255289516242,[],"[0.00371679775997144, 0.008498115266730822, 0.0100678308255537, 0.02103779702974125]","[0.011132350572341628, 0.023239007353607843, 0.014849148332313069, 0.030005022693361652]"
70%,"Total variation
 distance",cp,0.1517/0.0719,-,0.1692/0.1488,-,0.1279/0.1486,-,-,-,-,-,-,0.1472/0.3269,,0.12985171691054037,0.12985171691054037,0.4779470278173837,1.9884381725384885,[],"[0.07186868686868685, 0.14879835807467381, 0.1485898823398823, 0.3269336945304437]","[0.2954087372895422, 0.46683035010636287, 0.425083805083805, 0.8011152800587784]"
70%,"Jensen-Shannon
 divergence",cp,0.0553/0.0261,-,0.0719/0.0522,-,0.0474/0.047,-,-,-,-,-,-,0.0485/0.0926,,0.050809006135323985,0.050809006135323985,0.15977496269423627,0.44104737869420274,[],"[0.02607585654625017, 0.052239563354612405, 0.047007524860322274, 0.09260896835663972]","[0.08142226920023674, 0.12410159965366704, 0.09436820277336716, 0.1411553070669318]"
10%,"Hellinger
 distance",trestbps,0.0/0.0,-,-,-,0.0/0.0099,-,-,-,-,-,-,-,,0.009879241915936799,0.009879241915936799,0.014818862873905199,0.009879241915936799,[],"[0.0, 0.009879241915936799]","[0.0, 0.009879241915936799]"
10%,"Wasserstein
 distance",trestbps,0.0/0.0,-,-,-,0.0/0.0005,-,-,-,-,-,-,-,,0.00052323851960763,0.00052323851960763,0.00079387913319778,0.0005412812271803,[],"[0.0, 0.0005412812271803]","[0.0, 0.0005412812271803]"
10%,"Total variation
 distance",trestbps,0.0/0.0,-,-,-,0.0/0.0077,-,-,-,-,-,-,-,,0.00588235294117647,0.00588235294117647,0.00972850678733031,0.015384615384615361,[],"[0.0, 0.007692307692307681]","[0.0, 0.015384615384615361]"
10%,"Jensen-Shannon
 divergence",trestbps,0.0/0.0,-,-,-,0.0/0.0038,-,-,-,-,-,-,-,,0.00380040093403814,0.00380040093403814,0.0056785869715148245,0.00375637207495337,[],"[0.0, 0.00375637207495337]","[0.0, 0.00375637207495337]"
30%,"Hellinger
 distance",trestbps,0.0593/0.0239,-,-,-,0.0198/0.0099,-,-,-,-,-,-,-,,0.049396209579684,0.049396209579684,0.0662611304473621,0.11276377706285058,[],"[0.023850599819419383, 0.009879241915936799]","[0.08312605131504018, 0.029637725747810397]"
30%,"Wasserstein
 distance",trestbps,0.0032/0.0016,-,-,-,0.0011/0.0005,-,-,-,-,-,-,-,,0.00263423530561082,0.00263423530561082,0.00368071234482608,0.00633299035800957,[],"[0.00156971555882289, 0.00052323851960763]","[0.00474523209161401, 0.00158775826639556]"
