ID,ID2,Feature,Feature2,Partial_ordering,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,hellinger_div,wasserstein_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_1,F_2,sex,cp,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,0.2,0.0,0.091,0.059,0.317,0.429,3.857,0.357,0.14550000000000002,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
F_1,F_2,sex,cp,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_3,sex,trestbps,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,0.2,0.0,0.091,0.059,0.317,0.429,3.857,0.357,0.14550000000000002,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
F_1,F_3,sex,trestbps,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_4,sex,chol,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,0.2,0.0,0.091,0.059,0.317,0.429,3.857,0.357,0.14550000000000002,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
F_1,F_4,sex,chol,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_5,sex,fbs,defined,10.0,NII,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_5,sex,fbs,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_6,sex,restecg,defined,10.0,NII,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_6,sex,restecg,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_7,sex,thalach,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,0.2,0.0,0.091,0.059,0.317,0.429,3.857,0.357,0.14550000000000002,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
F_1,F_7,sex,thalach,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.2,0.0,0.091,0.0,0.317,0.587,3.857,0.245,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.367,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_8,sex,exang,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.004901504356196033,0.03628476200379124,0.0,3.333,0.2,-0.143,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,-0.0715,0.818,0.909,0.053,0.0,0.333,0.333,0.9,1.0,0.818,0.909,0.857,0.952,0.9,0.967
F_1,F_8,sex,exang,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_9,sex,oldpeak,defined,10.0,NII,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_9,sex,oldpeak,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_10,sex,ca,defined,10.0,NII,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_10,sex,ca,defined,10.0,NDI,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.005232385196076319,0.08333333333333334,0.00497517404546983,0.03655516661122679,3.333,3.333,0.2,-0.143,0.091,0.0,0.317,0.429,3.857,0.357,0.14550000000000002,-0.0715,0.818,0.917,0.053,0.0,0.333,0.367,0.9,1.0,0.818,0.917,0.857,0.957,0.9,0.967
F_1,F_11,sex,thal,defined,10.0,NII,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.2,0.0,0.091,0.0,0.317,0.54,3.857,0.306,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.4,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_11,sex,thal,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_2,cp,cp,N/A,10.0,CDI,0,0,0,0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,0.107,0.1,0.059,0.526,0.476,0,0.286,-0.45,0.08299999999999999,0.818,0.818,0.053,0.053,0.333,0.333,0.9,0.9,0.818,0.818,0.857,0.857,0.9,0.9
F_2,F_3,cp,trestbps,frequent,10.0,NII,0.08080808080808081,0.013468013468013467,0.04377104377104377,6.000000000000001,1.8461538461538463,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,-1.0,0.0,0.1,0.059,0.526,0.429,0,0.357,-0.45,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
F_2,F_3,cp,trestbps,frequent,10.0,NDI,0.08080808080808081,0.013468013468013467,0.04377104377104377,6.000000000000001,1.8461538461538463,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.526,0.476,0,0.286,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_5,cp,fbs,frequent,10.0,NII,0.6464646464646465,0.1111111111111111,0.20875420875420875,5.818181818181819,3.0967741935483875,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.526,0.476,0,0.286,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_5,cp,fbs,frequent,10.0,NDI,0.6464646464646465,0.1111111111111111,0.20875420875420875,5.818181818181819,3.0967741935483875,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.526,0.476,0,0.286,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_9,cp,oldpeak,frequent,10.0,NII,0.2255892255892256,0.04040404040404041,0.11447811447811448,5.583333333333333,1.9705882352941175,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.526,0.476,0,0.286,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_9,cp,oldpeak,frequent,10.0,NDI,0.2255892255892256,0.04040404040404041,0.11447811447811448,5.583333333333333,1.9705882352941175,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.526,0.476,0,0.286,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_10,cp,ca,frequent,10.0,NII,0.5892255892255892,0.16835016835016836,0.21548821548821548,3.4999999999999996,2.734375,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.526,0.476,0,0.286,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_2,F_10,cp,ca,frequent,10.0,NDI,0.5892255892255892,0.16835016835016836,0.21548821548821548,3.4999999999999996,2.734375,0.9,1.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,-1.0,0.0,0.1,0.0,0.526,0.587,0,0.245,-0.45,0.0,0.818,1.0,0.053,0.0,0.333,0.367,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_3,F_3,trestbps,trestbps,N/A,10.0,CDI,0,0,0,0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.5,0.107,0.0,0.059,0.143,0.476,0,0.286,-0.25,0.08299999999999999,0.818,0.818,0.053,0.053,0.333,0.333,0.9,0.9,0.818,0.818,0.857,0.857,0.9,0.9
F_3,F_5,trestbps,fbs,frequent,10.0,NII,0.11784511784511785,0.006734006734006734,0.013468013468013467,17.5,8.75,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.143,0.476,0,0.286,-0.25,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
